date,year,7320003
01-01-1979,1979,0
01-01-1980,1980,0
01-01-1981,1981,0
01-01-1982,1982,0
01-01-1983,1983,0
01-01-1984,1984,0
01-01-1985,1985,0
01-01-1986,1986,0
01-01-1987,1987,0
01-01-1988,1988,0
01-01-1989,1989,0
01-01-1990,1990,0
01-01-1991,1991,0
01-01-1992,1992,0
01-01-1993,1993,0
01-01-1994,1994,0
01-01-1995,1995,0
01-01-1996,1996,0
01-01-1997,1997,0
01-01-1998,1998,0
01-01-1999,1999,0
01-01-2000,2000,0
01-01-2001,2001,0
01-01-2002,2002,0
01-01-2003,2003,0
01-01-2004,2004,0
01-01-2005,2005,0
01-01-2006,2006,0
01-01-2007,2007,0
01-01-2008,2008,0
01-01-2009,2009,0
01-01-2010,2010,0
01-01-2011,2011,0
01-01-2012,2012,0
01-01-2013,2013,0
01-01-2014,2014,0
01-01-2015,2015,0
01-01-2016,2016,0
01-01-2017,2017,0
01-01-2018,2018,0
01-01-2019,2019,0
01-01-2020,2020,0
