date,year,7320003
01-01-1979,1979,0
01-01-1980,1980,0
01-01-1981,1981,0
01-01-1982,1982,0
01-01-1983,1983,0
01-01-1984,1984,0
01-01-1985,1985,0
01-01-1986,1986,0
01-01-1987,1987,0
01-01-1988,1988,0
01-01-1989,1989,400
01-01-1990,1990,400
01-01-1991,1991,400
01-01-1992,1992,400
01-01-1993,1993,401.17
01-01-1994,1994,401.17
01-01-1995,1995,401.17
01-01-1996,1996,401.17
01-01-1997,1997,669.17
01-01-1998,1998,699.17
01-01-1999,1999,699.17
01-01-2000,2000,699.17
01-01-2001,2001,699.17
01-01-2002,2002,869.8592
01-01-2003,2003,885.8592
01-01-2004,2004,1030.0392
01-01-2005,2005,1030.0392
01-01-2006,2006,1110.9592
01-01-2007,2007,1110.9592
01-01-2008,2008,1110.9592
01-01-2009,2009,1110.9592
01-01-2010,2010,1110.9592
01-01-2011,2011,1110.9592
01-01-2012,2012,1110.9592
01-01-2013,2013,1110.9592
01-01-2014,2014,1110.9592
01-01-2015,2015,1110.9592
01-01-2016,2016,1110.9592
01-01-2017,2017,1110.9592
01-01-2018,2018,1110.9592
01-01-2019,2019,1110.9592
01-01-2020,2020,1110.9592
