date,year,month,day,7320003
01-01-1979,1979,1,1,152.214
01-02-1979,1979,2,1,120.908
01-03-1979,1979,3,1,107.889
01-04-1979,1979,4,1,72.439
01-05-1979,1979,5,1,41.425
01-06-1979,1979,6,1,30.163
01-07-1979,1979,7,1,34.148
01-08-1979,1979,8,1,42.094
01-09-1979,1979,9,1,51.717
01-10-1979,1979,10,1,86.404
01-11-1979,1979,11,1,97.69
01-12-1979,1979,12,1,123.976
01-01-1980,1980,1,1,151.16
01-02-1980,1980,2,1,112.92
01-03-1980,1980,3,1,113.131
01-04-1980,1980,4,1,54.493
01-05-1980,1980,5,1,36.679
01-06-1980,1980,6,1,27.538
01-07-1980,1980,7,1,29.506
01-08-1980,1980,8,1,44.282
01-09-1980,1980,9,1,66.693
01-10-1980,1980,10,1,90.061
01-11-1980,1980,11,1,105.861
01-12-1980,1980,12,1,134.36
01-01-1981,1981,1,1,136.972
01-02-1981,1981,2,1,126.456
01-03-1981,1981,3,1,106.615
01-04-1981,1981,4,1,67.076
01-05-1981,1981,5,1,36.446
01-06-1981,1981,6,1,27.185
01-07-1981,1981,7,1,32.239
01-08-1981,1981,8,1,44.466
01-09-1981,1981,9,1,61.231
01-10-1981,1981,10,1,84.399
01-11-1981,1981,11,1,106.064
01-12-1981,1981,12,1,138.102
01-01-1982,1982,1,1,146.205
01-02-1982,1982,2,1,116.539
01-03-1982,1982,3,1,105.87
01-04-1982,1982,4,1,71.039
01-05-1982,1982,5,1,41.003
01-06-1982,1982,6,1,22.444
01-07-1982,1982,7,1,26.867
01-08-1982,1982,8,1,43.164
01-09-1982,1982,9,1,55.982
01-10-1982,1982,10,1,80.596
01-11-1982,1982,11,1,100.499
01-12-1982,1982,12,1,142.989
01-01-1983,1983,1,1,143.015
01-02-1983,1983,2,1,124.931
01-03-1983,1983,3,1,103.73
01-04-1983,1983,4,1,66.29
01-05-1983,1983,5,1,36.784
01-06-1983,1983,6,1,22.1
01-07-1983,1983,7,1,27.173
01-08-1983,1983,8,1,38.858
01-09-1983,1983,9,1,52.866
01-10-1983,1983,10,1,92.202
01-11-1983,1983,11,1,122.118
01-12-1983,1983,12,1,144.207
01-01-1984,1984,1,1,144.762
01-02-1984,1984,2,1,120.101
01-03-1984,1984,3,1,103.488
01-04-1984,1984,4,1,66.866
01-05-1984,1984,5,1,31.968
01-06-1984,1984,6,1,20.656
01-07-1984,1984,7,1,27.987
01-08-1984,1984,8,1,40.247
01-09-1984,1984,9,1,54.612
01-10-1984,1984,10,1,84.008
01-11-1984,1984,11,1,99.932
01-12-1984,1984,12,1,132.67
01-01-1985,1985,1,1,136.176
01-02-1985,1985,2,1,121.893
01-03-1985,1985,3,1,101.59
01-04-1985,1985,4,1,61.681
01-05-1985,1985,5,1,41.176
01-06-1985,1985,6,1,32.38
01-07-1985,1985,7,1,30.146
01-08-1985,1985,8,1,44.237
01-09-1985,1985,9,1,63.457
01-10-1985,1985,10,1,76.837
01-11-1985,1985,11,1,112.022
01-12-1985,1985,12,1,137.868
01-01-1986,1986,1,1,143.195
01-02-1986,1986,2,1,117.973
01-03-1986,1986,3,1,104.061
01-04-1986,1986,4,1,59.892
01-05-1986,1986,5,1,37.915
01-06-1986,1986,6,1,25.411
01-07-1986,1986,7,1,37.578
01-08-1986,1986,8,1,42.24
01-09-1986,1986,9,1,59.994
01-10-1986,1986,10,1,90.552
01-11-1986,1986,11,1,94.781
01-12-1986,1986,12,1,141.106
01-01-1987,1987,1,1,153.208
01-02-1987,1987,2,1,125.312
01-03-1987,1987,3,1,107.005
01-04-1987,1987,4,1,67.805
01-05-1987,1987,5,1,36.169
01-06-1987,1987,6,1,30.151
01-07-1987,1987,7,1,27.971
01-08-1987,1987,8,1,37.644
01-09-1987,1987,9,1,55.568
01-10-1987,1987,10,1,87.286
01-11-1987,1987,11,1,118.784
01-12-1987,1987,12,1,139.707
01-01-1988,1988,1,1,144.484
01-02-1988,1988,2,1,130.696
01-03-1988,1988,3,1,101.949
01-04-1988,1988,4,1,67.216
01-05-1988,1988,5,1,42.415
01-06-1988,1988,6,1,26.935
01-07-1988,1988,7,1,28.501
01-08-1988,1988,8,1,37.479
01-09-1988,1988,9,1,57.529
01-10-1988,1988,10,1,87.696
01-11-1988,1988,11,1,119.916
01-12-1988,1988,12,1,138.067
01-01-1989,1989,1,1,150.979
01-02-1989,1989,2,1,127.994
01-03-1989,1989,3,1,105.484
01-04-1989,1989,4,1,71.879
01-05-1989,1989,5,1,44.262
01-06-1989,1989,6,1,30.903
01-07-1989,1989,7,1,31.182
01-08-1989,1989,8,1,38.093
01-09-1989,1989,9,1,60.109
01-10-1989,1989,10,1,92.128
01-11-1989,1989,11,1,119.495
01-12-1989,1989,12,1,135.058
01-01-1990,1990,1,1,153.063
01-02-1990,1990,2,1,119.814
01-03-1990,1990,3,1,103.586
01-04-1990,1990,4,1,59.213
01-05-1990,1990,5,1,40.048
01-06-1990,1990,6,1,31.202
01-07-1990,1990,7,1,30.1
01-08-1990,1990,8,1,48.919
01-09-1990,1990,9,1,60.005
01-10-1990,1990,10,1,86.691
01-11-1990,1990,11,1,116.702
01-12-1990,1990,12,1,132.569
01-01-1991,1991,1,1,142.094
01-02-1991,1991,2,1,125.736
01-03-1991,1991,3,1,110.102
01-04-1991,1991,4,1,64.831
01-05-1991,1991,5,1,41.042
