date,year,month,day,7320003
01-01-1979,1979,1,1,7.3238604
01-02-1979,1979,2,1,7.832085548
01-03-1979,1979,3,1,0.006616018
01-04-1979,1979,4,1,22.82284991
01-05-1979,1979,5,1,229.1714622
01-06-1979,1979,6,1,38.6512552
01-07-1979,1979,7,1,747.477859
01-08-1979,1979,8,1,499.0225873
01-09-1979,1979,9,1,304.6057894
01-10-1979,1979,10,1,29.86141413
01-11-1979,1979,11,1,189.4476836
01-12-1979,1979,12,1,129.2134885
01-01-1980,1980,1,1,0.284825518
01-02-1980,1980,2,1,114.2535838
01-03-1980,1980,3,1,20.0097166
01-04-1980,1980,4,1,525.5739164
01-05-1980,1980,5,1,633.8522656
01-06-1980,1980,6,1,425.6408276
01-07-1980,1980,7,1,418.5876979
01-08-1980,1980,8,1,104.9059916
01-09-1980,1980,9,1,145.1642036
01-10-1980,1980,10,1,6.458590363
01-11-1980,1980,11,1,59.79788383
01-12-1980,1980,12,1,34.473631
01-01-1981,1981,1,1,42.41467617
01-02-1981,1981,2,1,7.53165815
01-03-1981,1981,3,1,19.13010126
01-04-1981,1981,4,1,146.2343399
01-05-1981,1981,5,1,960.0041639
01-06-1981,1981,6,1,184.5264474
01-07-1981,1981,7,1,234.4956972
01-08-1981,1981,8,1,263.875293
01-09-1981,1981,9,1,126.773798
01-10-1981,1981,10,1,61.074916
01-11-1981,1981,11,1,57.99690092
01-12-1981,1981,12,1,0
01-01-1982,1982,1,1,7.120236674
01-02-1982,1982,2,1,26.62518417
01-03-1982,1982,3,1,55.92662149
01-04-1982,1982,4,1,53.9885291
01-05-1982,1982,5,1,515.0314821
01-06-1982,1982,6,1,872.3850519
01-07-1982,1982,7,1,593.3405701
01-08-1982,1982,8,1,375.5845013
01-09-1982,1982,9,1,515.9812297
01-10-1982,1982,10,1,286.3601662
01-11-1982,1982,11,1,29.1230026
01-12-1982,1982,12,1,16.9509816
01-01-1983,1983,1,1,22.17033915
01-02-1983,1983,2,1,10.5872377
01-03-1983,1983,3,1,8.627273919
01-04-1983,1983,4,1,76.7620687
01-05-1983,1983,5,1,246.4057162
01-06-1983,1983,6,1,429.6607376
01-07-1983,1983,7,1,396.9251032
01-08-1983,1983,8,1,251.9340435
01-09-1983,1983,9,1,136.1571382
01-10-1983,1983,10,1,34.02599309
01-11-1983,1983,11,1,9.993811493
01-12-1983,1983,12,1,15.36349048
01-01-1984,1984,1,1,11.56803062
01-02-1984,1984,2,1,5.153048359
01-03-1984,1984,3,1,56.33056331
01-04-1984,1984,4,1,53.7023434
01-05-1984,1984,5,1,477.5670421
01-06-1984,1984,6,1,366.8808979
01-07-1984,1984,7,1,771.8226553
01-08-1984,1984,8,1,184.5639627
01-09-1984,1984,9,1,299.8193715
01-10-1984,1984,10,1,164.4400107
01-11-1984,1984,11,1,81.0750867
01-12-1984,1984,12,1,0.17307966
01-01-1985,1985,1,1,21.56928008
01-02-1985,1985,2,1,2.931746432
01-03-1985,1985,3,1,50.86474584
01-04-1985,1985,4,1,116.4265172
01-05-1985,1985,5,1,324.6531529
01-06-1985,1985,6,1,205.7041553
01-07-1985,1985,7,1,328.5148508
01-08-1985,1985,8,1,60.99439024
01-09-1985,1985,9,1,151.4373668
01-10-1985,1985,10,1,279.8373261
01-11-1985,1985,11,1,40.41293455
01-12-1985,1985,12,1,2.9013079
01-01-1986,1986,1,1,9.233838909
01-02-1986,1986,2,1,20.28258527
01-03-1986,1986,3,1,29.00562844
01-04-1986,1986,4,1,327.561219
01-05-1986,1986,5,1,612.3172702
01-06-1986,1986,6,1,765.6195753
01-07-1986,1986,7,1,104.4998249
01-08-1986,1986,8,1,340.8017068
01-09-1986,1986,9,1,81.1556629
01-10-1986,1986,10,1,103.5455843
01-11-1986,1986,11,1,178.1833289
01-12-1986,1986,12,1,8.48960217
01-01-1987,1987,1,1,0
01-02-1987,1987,2,1,38.35055546
01-03-1987,1987,3,1,91.89890681
01-04-1987,1987,4,1,43.61772676
01-05-1987,1987,5,1,175.7640485
01-06-1987,1987,6,1,165.5665845
01-07-1987,1987,7,1,912.0297937
01-08-1987,1987,8,1,502.2808627
01-09-1987,1987,9,1,195.2397537
01-10-1987,1987,10,1,187.8235091
01-11-1987,1987,11,1,25.97336192
01-12-1987,1987,12,1,25.58516336
01-01-1988,1988,1,1,0.002518289
01-02-1988,1988,2,1,3.0023891
01-03-1988,1988,3,1,87.95861468
01-04-1988,1988,4,1,39.2305176
01-05-1988,1988,5,1,100.8590955
01-06-1988,1988,6,1,375.1801014
01-07-1988,1988,7,1,277.4767771
01-08-1988,1988,8,1,436.3783409
01-09-1988,1988,9,1,87.90820735
01-10-1988,1988,10,1,54.06509155
01-11-1988,1988,11,1,19.80369159
01-12-1988,1988,12,1,13.8577279
01-01-1989,1989,1,1,6.123912552
01-02-1989,1989,2,1,0
01-03-1989,1989,3,1,22.0802032
01-04-1989,1989,4,1,10.55232829
01-05-1989,1989,5,1,94.67923655
01-06-1989,1989,6,1,249.2739933
01-07-1989,1989,7,1,319.2894425
01-08-1989,1989,8,1,452.0358696
01-09-1989,1989,9,1,91.3169582
01-10-1989,1989,10,1,45.57910273
01-11-1989,1989,11,1,31.68414978
01-12-1989,1989,12,1,31.28018543
01-01-1990,1990,1,1,10.427972
01-02-1990,1990,2,1,7.818358356
01-03-1990,1990,3,1,138.4422394
01-04-1990,1990,4,1,157.6414007
01-05-1990,1990,5,1,158.7789468
01-06-1990,1990,6,1,95.42239069
01-07-1990,1990,7,1,202.3495585
01-08-1990,1990,8,1,153.4652392
01-09-1990,1990,9,1,247.8978299
01-10-1990,1990,10,1,33.49295741
01-11-1990,1990,11,1,46.5586097
01-12-1990,1990,12,1,73.85020839
01-01-1991,1991,1,1,25.56848503
01-02-1991,1991,2,1,3.442122997
01-03-1991,1991,3,1,0.564012487
01-04-1991,1991,4,1,193.3060336
01-05-1991,1991,5,1,793.4018518
01-06-1991,1991,6,1,425.3582522
01-07-1991,1991,7,1,398.977984
01-08-1991,1991,8,1,61.15645939
01-09-1991,1991,9,1,208.7285265
01-10-1991,1991,10,1,135.8930118
01-11-1991,1991,11,1,71.61883831
01-12-1991,1991,12,1,215.4997069
01-01-1992,1992,1,1,0.398326097
01-02-1992,1992,2,1,56.4465111
01-03-1992,1992,3,1,44.7201166
01-04-1992,1992,4,1,182.9371127
01-05-1992,1992,5,1,656.8111102
01-06-1992,1992,6,1,632.6267167
01-07-1992,1992,7,1,179.9716639
01-08-1992,1992,8,1,209.9761274
01-09-1992,1992,9,1,135.4539033
01-10-1992,1992,10,1,32.9406959
01-11-1992,1992,11,1,82.15974178
01-12-1992,1992,12,1,24.42087473
01-01-1993,1993,1,1,14.52511455
01-02-1993,1993,2,1,9.385182409
01-03-1993,1993,3,1,6.0634223
01-04-1993,1993,4,1,211.3565676
01-05-1993,1993,5,1,485.7826789
01-06-1993,1993,6,1,686.2794018
01-07-1993,1993,7,1,221.0189157
