date,year,month,day,7320003
01-01-1979,1979,1,1,21.85572948
01-02-1979,1979,2,1,20.88383368
01-03-1979,1979,3,1,19.99866442
01-04-1979,1979,4,1,17.0425723
01-05-1979,1979,5,1,11.1945727
01-06-1979,1979,6,1,8.585975693
01-07-1979,1979,7,1,9.466027735
01-08-1979,1979,8,1,8.502420535
01-09-1979,1979,9,1,7.37787055
01-10-1979,1979,10,1,11.92249363
01-11-1979,1979,11,1,13.85628366
01-12-1979,1979,12,1,16.99880187
01-01-1980,1980,1,1,21.82728087
01-02-1980,1980,2,1,19.78185021
01-03-1980,1980,3,1,22.0041711
01-04-1980,1980,4,1,12.36738858
01-05-1980,1980,5,1,9.9489407
01-06-1980,1980,6,1,8.007421495
01-07-1980,1980,7,1,6.60713629
01-08-1980,1980,8,1,8.367210519
01-09-1980,1980,9,1,11.44690866
01-10-1980,1980,10,1,12.3890058
01-11-1980,1980,11,1,14.31863407
01-12-1980,1980,12,1,18.15494906
01-01-1981,1981,1,1,19.44090323
01-02-1981,1981,2,1,22.22075843
01-03-1981,1981,3,1,20.07996235
01-04-1981,1981,4,1,15.68332367
01-05-1981,1981,5,1,10.16198544
01-06-1981,1981,6,1,7.74076735
01-07-1981,1981,7,1,8.069425444
01-08-1981,1981,8,1,8.816300461
01-09-1981,1981,9,1,9.78018229
01-10-1981,1981,10,1,11.4300524
01-11-1981,1981,11,1,14.66054581
01-12-1981,1981,12,1,18.41791058
01-01-1982,1982,1,1,20.884784
01-02-1982,1982,2,1,20.19868361
01-03-1982,1982,3,1,19.6996333
01-04-1982,1982,4,1,17.00115591
01-05-1982,1982,5,1,11.23431233
01-06-1982,1982,6,1,5.40321658
01-07-1982,1982,7,1,6.251588894
01-08-1982,1982,8,1,8.446268757
01-09-1982,1982,9,1,9.586307567
01-10-1982,1982,10,1,10.87276852
01-11-1982,1982,11,1,13.58887564
01-12-1982,1982,12,1,19.61454506
01-01-1983,1983,1,1,20.487484
01-02-1983,1983,2,1,21.76431525
01-03-1983,1983,3,1,19.58867474
01-04-1983,1983,4,1,15.45073703
01-05-1983,1983,5,1,8.573938452
01-06-1983,1983,6,1,4.18399224
01-07-1983,1983,7,1,5.507775569
01-08-1983,1983,8,1,6.658520503
01-09-1983,1983,9,1,7.29830483
01-10-1983,1983,10,1,13.52160197
01-11-1983,1983,11,1,17.523718
01-12-1983,1983,12,1,20.2133831
01-01-1984,1984,1,1,20.91307535
01-02-1984,1984,2,1,20.14183724
01-03-1984,1984,3,1,19.58262045
01-04-1984,1984,4,1,15.43292524
01-05-1984,1984,5,1,7.071114867
01-06-1984,1984,6,1,3.773307987
01-07-1984,1984,7,1,6.000577425
01-08-1984,1984,8,1,6.411396839
01-09-1984,1984,9,1,8.29590106
01-10-1984,1984,10,1,11.71319979
01-11-1984,1984,11,1,13.37339385
01-12-1984,1984,12,1,17.64704423
01-01-1985,1985,1,1,19.41991526
01-02-1985,1985,2,1,21.06141739
01-03-1985,1985,3,1,19.12794156
01-04-1985,1985,4,1,14.12083675
01-05-1985,1985,5,1,11.16397097
01-06-1985,1985,6,1,10.8427881
01-07-1985,1985,7,1,6.956210823
01-08-1985,1985,8,1,8.189539026
01-09-1985,1985,9,1,10.81350169
01-10-1985,1985,10,1,10.82147385
01-11-1985,1985,11,1,16.05360773
01-12-1985,1985,12,1,18.91763848
01-01-1986,1986,1,1,20.21129677
01-02-1986,1986,2,1,20.81582821
01-03-1986,1986,3,1,19.29303175
01-04-1986,1986,4,1,14.08745836
01-05-1986,1986,5,1,9.885595881
01-06-1986,1986,6,1,7.132346353
01-07-1986,1986,7,1,10.73545083
01-08-1986,1986,8,1,8.282858361
01-09-1986,1986,9,1,9.94082544
01-10-1986,1986,10,1,13.47228308
01-11-1986,1986,11,1,13.06720109
01-12-1986,1986,12,1,19.65367516
