date,year,month,day,7320003
01-01-1979,1979,1,1,8.272141797
01-02-1979,1979,2,1,6.886831396
01-03-1979,1979,3,1,5.928396594
01-04-1979,1979,4,1,2.705802194
01-05-1979,1979,5,1,0.213746182
01-06-1979,1979,6,1,-2.374748523
01-07-1979,1979,7,1,-0.850342001
01-08-1979,1979,8,1,-1.088844369
01-09-1979,1979,9,1,-2.80029848
01-10-1979,1979,10,1,0.841052165
01-11-1979,1979,11,1,4.3932248
01-12-1979,1979,12,1,6.276523813
01-01-1980,1980,1,1,8.422754884
01-02-1980,1980,2,1,8.556865869
01-03-1980,1980,3,1,8.238035735
01-04-1980,1980,4,1,2.186857853
01-05-1980,1980,5,1,1.02283334
01-06-1980,1980,6,1,-0.712151136
01-07-1980,1980,7,1,-2.982153322
01-08-1980,1980,8,1,-2.532060175
01-09-1980,1980,9,1,-0.666499941
01-10-1980,1980,10,1,0.565373525
01-11-1980,1980,11,1,3.12946523
01-12-1980,1980,12,1,6.009913898
01-01-1981,1981,1,1,7.036695942
01-02-1981,1981,2,1,8.078108118
01-03-1981,1981,3,1,7.137399819
01-04-1981,1981,4,1,3.337634694
01-05-1981,1981,5,1,1.690326742
01-06-1981,1981,6,1,-1.099984452
01-07-1981,1981,7,1,-1.909770082
01-08-1981,1981,8,1,-1.718674124
01-09-1981,1981,9,1,-1.408415862
01-10-1981,1981,10,1,0.578256258
01-11-1981,1981,11,1,3.642702782
01-12-1981,1981,12,1,5.584685726
01-01-1982,1982,1,1,7.733114858
01-02-1982,1982,2,1,7.028571636
01-03-1982,1982,3,1,6.253913449
01-04-1982,1982,4,1,3.666472515
01-05-1982,1982,5,1,0.7713798
01-06-1982,1982,6,1,-1.502224029
01-07-1982,1982,7,1,-1.24236988
01-08-1982,1982,8,1,-1.898599934
01-09-1982,1982,9,1,0.647008482
01-10-1982,1982,10,1,0.567310613
01-11-1982,1982,11,1,2.996722809
01-12-1982,1982,12,1,6.874047439
01-01-1983,1983,1,1,7.757394042
01-02-1983,1983,2,1,7.758851525
01-03-1983,1983,3,1,6.784991032
01-04-1983,1983,4,1,2.891032615
01-05-1983,1983,5,1,-1.737000782
01-06-1983,1983,6,1,-4.202656548
01-07-1983,1983,7,1,-3.212042049
01-08-1983,1983,8,1,-3.252477786
01-09-1983,1983,9,1,-3.104762751
01-10-1983,1983,10,1,2.101975702
01-11-1983,1983,11,1,5.066284033
01-12-1983,1983,12,1,7.837426635
01-01-1984,1984,1,1,8.204861358
01-02-1984,1984,2,1,7.071228469
01-03-1984,1984,3,1,6.865536503
01-04-1984,1984,4,1,1.924836122
01-05-1984,1984,5,1,-1.521248632
01-06-1984,1984,6,1,-3.282147155
01-07-1984,1984,7,1,-2.12403603
01-08-1984,1984,8,1,-4.160121858
01-09-1984,1984,9,1,-1.331026271
01-10-1984,1984,10,1,1.345737599
01-11-1984,1984,11,1,2.9869427
01-12-1984,1984,12,1,5.368060265
01-01-1985,1985,1,1,7.345802397
01-02-1985,1985,2,1,7.027547025
01-03-1985,1985,3,1,6.862781526
01-04-1985,1985,4,1,2.120529648
01-05-1985,1985,5,1,0.676422815
01-06-1985,1985,6,1,1.169501365
01-07-1985,1985,7,1,-2.864017889
01-08-1985,1985,8,1,-3.551380994
01-09-1985,1985,9,1,-0.026877616
01-10-1985,1985,10,1,1.662867373
01-11-1985,1985,11,1,4.983961943
01-12-1985,1985,12,1,6.738900194
01-01-1986,1986,1,1,7.00071761
01-02-1986,1986,2,1,8.002859075
01-03-1986,1986,3,1,5.906205587
01-04-1986,1986,4,1,3.075470699
01-05-1986,1986,5,1,0.660414721
01-06-1986,1986,6,1,-0.924423484
01-07-1986,1986,7,1,-0.568639161
01-08-1986,1986,8,1,-1.517815935
01-09-1986,1986,9,1,-0.61901647
01-10-1986,1986,10,1,2.733114178
01-11-1986,1986,11,1,3.553474675
01-12-1986,1986,12,1,7.464632845
01-01-1987,1987,1,1,8.259737687
01-02-1987,1987,2,1,9.472216496
01-03-1987,1987,3,1,7.707538019
01-04-1987,1987,4,1,3.343916462
01-05-1987,1987,5,1,-1.844050522
01-06-1987,1987,6,1,0.395173356
01-07-1987,1987,7,1,-1.922692437
01-08-1987,1987,8,1,-3.02254696
01-09-1987,1987,9,1,-2.017559831
01-10-1987,1987,10,1,1.805902673
01-11-1987,1987,11,1,4.95899191
01-12-1987,1987,12,1,6.479505152
01-01-1988,1988,1,1,7.3214146
01-02-1988,1988,2,1,8.925331852
01-03-1988,1988,3,1,6.257275115
01-04-1988,1988,4,1,3.490133141
01-05-1988,1988,5,1,-0.402380164
01-06-1988,1988,6,1,-1.800984928
01-07-1988,1988,7,1,-4.007660121
01-08-1988,1988,8,1,-3.759127327
01-09-1988,1988,9,1,-2.68931415
01-10-1988,1988,10,1,0.424075824
01-11-1988,1988,11,1,4.476362198
01-12-1988,1988,12,1,6.608512713
01-01-1989,1989,1,1,8.696696274
01-02-1989,1989,2,1,9.003224325
01-03-1989,1989,3,1,5.743697003
01-04-1989,1989,4,1,3.393243133
01-05-1989,1989,5,1,0.180944269
01-06-1989,1989,6,1,0.203405599
01-07-1989,1989,7,1,-2.677781588
01-08-1989,1989,8,1,-2.880152003
01-09-1989,1989,9,1,-1.658071794
01-10-1989,1989,10,1,1.548490388
01-11-1989,1989,11,1,5.207204598
01-12-1989,1989,12,1,7.005348097
01-01-1990,1990,1,1,7.306725484
01-02-1990,1990,2,1,8.384340693
01-03-1990,1990,3,1,5.344365169
01-04-1990,1990,4,1,2.740350164
01-05-1990,1990,5,1,-0.407138419
01-06-1990,1990,6,1,-0.206961388
01-07-1990,1990,7,1,-3.279055593
01-08-1990,1990,8,1,-0.656393355
01-09-1990,1990,9,1,-0.915520623
01-10-1990,1990,10,1,1.699268157
01-11-1990,1990,11,1,4.0430522
01-12-1990,1990,12,1,7.2315873
01-01-1991,1991,1,1,7.164603271
01-02-1991,1991,2,1,8.035631311
01-03-1991,1991,3,1,7.240363319
01-04-1991,1991,4,1,3.671764762
01-05-1991,1991,5,1,1.711281358
01-06-1991,1991,6,1,-1.129609675
01-07-1991,1991,7,1,-2.88233232
01-08-1991,1991,8,1,-3.7651547
01-09-1991,1991,9,1,0.724628427
01-10-1991,1991,10,1,0.409573686
01-11-1991,1991,11,1,4.628663733
01-12-1991,1991,12,1,5.760992885
01-01-1992,1992,1,1,9.283909813
01-02-1992,1992,2,1,7.4096331
01-03-1992,1992,3,1,7.707899529
01-04-1992,1992,4,1,2.176202724
01-05-1992,1992,5,1,-0.930553935
01-06-1992,1992,6,1,-1.948173496
01-07-1992,1992,7,1,-4.060822332
01-08-1992,1992,8,1,-2.684787892
01-09-1992,1992,9,1,-1.268858459
01-10-1992,1992,10,1,1.362216913
01-11-1992,1992,11,1,4.849203117
01-12-1992,1992,12,1,6.510042745
01-01-1993,1993,1,1,8.466371061
01-02-1993,1993,2,1,9.277965939
01-03-1993,1993,3,1,7.036586619
01-04-1993,1993,4,1,3.162136156
01-05-1993,1993,5,1,-2.254035811
01-06-1993,1993,6,1,-0.312654593
01-07-1993,1993,7,1,-4.151850541
01-08-1993,1993,8,1,-2.286971193
01-09-1993,1993,9,1,-1.910665405
01-10-1993,1993,10,1,1.474466153
01-11-1993,1993,11,1,3.157188545
01-12-1993,1993,12,1,6.416417065
01-01-1994,1994,1,1,8.261150877
01-02-1994,1994,2,1,7.3253209
01-03-1994,1994,3,1,7.380491029
01-04-1994,1994,4,1,3.418785672
01-05-1994,1994,5,1,1.065069523
01-06-1994,1994,6,1,-0.356562538
01-07-1994,1994,7,1,-2.705249593
01-08-1994,1994,8,1,-2.945907471
01-09-1994,1994,9,1,0.738591953
01-10-1994,1994,10,1,1.108097357
01-11-1994,1994,11,1,4.62253629
01-12-1994,1994,12,1,7.361289871
01-01-1995,1995,1,1,7.658925352
01-02-1995,1995,2,1,7.245920146
01-03-1995,1995,3,1,5.853310477
01-04-1995,1995,4,1,3.339116625
01-05-1995,1995,5,1,1.892739608
01-06-1995,1995,6,1,-0.322921006
01-07-1995,1995,7,1,-4.509119577
01-08-1995,1995,8,1,-4.62307794
01-09-1995,1995,9,1,-0.792359789
01-10-1995,1995,10,1,1.069723696
01-11-1995,1995,11,1,4.746010947
01-12-1995,1995,12,1,8.513892423
01-01-1996,1996,1,1,7.075787103
01-02-1996,1996,2,1,7.1020771
01-03-1996,1996,3,1,7.259660994
01-04-1996,1996,4,1,2.23136932
01-05-1996,1996,5,1,0.138476771
01-06-1996,1996,6,1,-2.303279348
01-07-1996,1996,7,1,-1.549590596
01-08-1996,1996,8,1,-2.963341545
01-09-1996,1996,9,1,-0.414724314
01-10-1996,1996,10,1,1.583278299
01-11-1996,1996,11,1,4.946142424
01-12-1996,1996,12,1,6.459420842
01-01-1997,1997,1,1,8.036905532
01-02-1997,1997,2,1,7.555720093
01-03-1997,1997,3,1,7.808611755
01-04-1997,1997,4,1,4.916868083
01-05-1997,1997,5,1,1.68565052
01-06-1997,1997,6,1,-1.680880433
01-07-1997,1997,7,1,-1.279061825
01-08-1997,1997,8,1,-2.276649839
01-09-1997,1997,9,1,-0.171189205
01-10-1997,1997,10,1,-0.4919201
01-11-1997,1997,11,1,3.660078587
01-12-1997,1997,12,1,6.395876661
01-01-1998,1998,1,1,8.129331139
01-02-1998,1998,2,1,8.112877729
01-03-1998,1998,3,1,6.253146171
01-04-1998,1998,4,1,2.633584572
01-05-1998,1998,5,1,1.046727686
01-06-1998,1998,6,1,-0.770404029
01-07-1998,1998,7,1,-1.7255228
01-08-1998,1998,8,1,-3.095786548
01-09-1998,1998,9,1,-1.961429139
01-10-1998,1998,10,1,2.850533896
01-11-1998,1998,11,1,3.731119745
01-12-1998,1998,12,1,7.721685397
01-01-1999,1999,1,1,8.733480261
01-02-1999,1999,2,1,8.710748557
01-03-1999,1999,3,1,5.597637881
01-04-1999,1999,4,1,2.78597393
01-05-1999,1999,5,1,1.435140233
01-06-1999,1999,6,1,-0.653918388
01-07-1999,1999,7,1,-4.350951056
01-08-1999,1999,8,1,-2.428999113
01-09-1999,1999,9,1,-1.256515917
01-10-1999,1999,10,1,1.966947899
01-11-1999,1999,11,1,3.867779936
01-12-1999,1999,12,1,6.527259726
01-01-2000,2000,1,1,7.113577094
01-02-2000,2000,2,1,6.935144368
01-03-2000,2000,3,1,5.774275173
01-04-2000,2000,4,1,3.741364813
01-05-2000,2000,5,1,-0.720935301
01-06-2000,2000,6,1,-1.435915988
01-07-2000,2000,7,1,-3.391156502
01-08-2000,2000,8,1,-2.664462327
01-09-2000,2000,9,1,-1.779794356
01-10-2000,2000,10,1,1.742072582
01-11-2000,2000,11,1,3.224489051
01-12-2000,2000,12,1,6.946085074
01-01-2001,2001,1,1,7.7439619
01-02-2001,2001,2,1,9.099005786
01-03-2001,2001,3,1,6.319545771
01-04-2001,2001,4,1,1.697407152
01-05-2001,2001,5,1,-0.918390691
01-06-2001,2001,6,1,-1.536629574
01-07-2001,2001,7,1,-1.856400857
01-08-2001,2001,8,1,-1.789710902
01-09-2001,2001,9,1,-1.526248641
01-10-2001,2001,10,1,2.580006776
01-11-2001,2001,11,1,3.301601435
01-12-2001,2001,12,1,8.610383994
01-01-2002,2002,1,1,7.759314726
01-02-2002,2002,2,1,8.375400221
01-03-2002,2002,3,1,6.505874954
01-04-2002,2002,4,1,2.048577223
01-05-2002,2002,5,1,0.01367633
01-06-2002,2002,6,1,-2.816824086
01-07-2002,2002,7,1,-2.502327433
01-08-2002,2002,8,1,-2.254267497
01-09-2002,2002,9,1,-1.408136651
01-10-2002,2002,10,1,1.033162026
01-11-2002,2002,11,1,3.558740782
01-12-2002,2002,12,1,6.557793613
01-01-2003,2003,1,1,8.269177497
01-02-2003,2003,2,1,7.070395886
01-03-2003,2003,3,1,7.859372748
01-04-2003,2003,4,1,2.957930146
01-05-2003,2003,5,1,0.283320022
01-06-2003,2003,6,1,1.020966507
01-07-2003,2003,7,1,-3.660957233
01-08-2003,2003,8,1,-2.594030655
01-09-2003,2003,9,1,-0.587823909
01-10-2003,2003,10,1,2.469392962
01-11-2003,2003,11,1,5.19186666
01-12-2003,2003,12,1,5.819973819
01-01-2004,2004,1,1,8.970296448
01-02-2004,2004,2,1,8.220996359
01-03-2004,2004,3,1,7.044019452
01-04-2004,2004,4,1,2.611916995
01-05-2004,2004,5,1,0.156020815
01-06-2004,2004,6,1,-0.559883274
01-07-2004,2004,7,1,-1.833990851
01-08-2004,2004,8,1,-3.072517374
01-09-2004,2004,9,1,-0.308626254
01-10-2004,2004,10,1,1.248748037
01-11-2004,2004,11,1,3.81953064
01-12-2004,2004,12,1,7.0843352
01-01-2005,2005,1,1,7.394355881
01-02-2005,2005,2,1,8.878273154
01-03-2005,2005,3,1,6.300759319
01-04-2005,2005,4,1,2.022934041
01-05-2005,2005,5,1,-1.169739919
01-06-2005,2005,6,1,-0.366475357
01-07-2005,2005,7,1,-1.986221843
01-08-2005,2005,8,1,-1.584392802
01-09-2005,2005,9,1,-2.150955142
01-10-2005,2005,10,1,0.957817454
01-11-2005,2005,11,1,4.73453064
01-12-2005,2005,12,1,6.863588084
01-01-2006,2006,1,1,8.755184874
01-02-2006,2006,2,1,9.228259586
