date,year,7321002
01-01-1979,1979,0
01-01-1980,1980,0
01-01-1981,1981,0
01-01-1982,1982,0
01-01-1983,1983,0
01-01-1984,1984,0
01-01-1985,1985,0
01-01-1986,1986,0
01-01-1987,1987,0
01-01-1988,1988,0
01-01-1989,1989,0
01-01-1990,1990,0
01-01-1991,1991,0
01-01-1992,1992,0
01-01-1993,1993,0
01-01-1994,1994,0
01-01-1995,1995,0
01-01-1996,1996,0
01-01-1997,1997,0
01-01-1998,1998,0
01-01-1999,1999,0
01-01-2000,2000,0
01-01-2001,2001,0
01-01-2002,2002,0
01-01-2003,2003,4
01-01-2004,2004,4
01-01-2005,2005,4
01-01-2006,2006,4
01-01-2007,2007,4
01-01-2008,2008,4
01-01-2009,2009,8.1
01-01-2010,2010,8.1
01-01-2011,2011,8.1
01-01-2012,2012,8.1
01-01-2013,2013,8.1
01-01-2014,2014,13.2
01-01-2015,2015,67.8
01-01-2016,2016,67.8
01-01-2017,2017,67.8
01-01-2018,2018,101.43
01-01-2019,2019,129.93
01-01-2020,2020,129.93
