date,year,7321002
01-01-1979,1979,0
01-01-1980,1980,0
01-01-1981,1981,39.15
01-01-1982,1982,39.15
01-01-1983,1983,39.15
01-01-1984,1984,39.15
01-01-1985,1985,39.15
01-01-1986,1986,39.15
01-01-1987,1987,39.15
01-01-1988,1988,39.15
01-01-1989,1989,439.15
01-01-1990,1990,439.15
01-01-1991,1991,439.15
01-01-1992,1992,912.16
01-01-1993,1993,913.33
01-01-1994,1994,4341.4855
01-01-1995,1995,4435.3055
01-01-1996,1996,4486.8955
01-01-1997,1997,6254.8955
01-01-1998,1998,6284.8955
01-01-1999,1999,6644.8955
01-01-2000,2000,6644.8955
01-01-2001,2001,6644.8955
01-01-2002,2002,7214.22146
01-01-2003,2003,7230.225627
01-01-2004,2004,7468.797627
01-01-2005,2005,7468.797627
01-01-2006,2006,7605.655627
01-01-2007,2007,7605.655627
01-01-2008,2008,7635.655627
01-01-2009,2009,7700.655627
01-01-2010,2010,7825.139367
01-01-2011,2011,7825.139367
01-01-2012,2012,7966.852867
01-01-2013,2013,8314.716067
01-01-2014,2014,8997.570367
01-01-2015,2015,9058.250367
01-01-2016,2016,10173.19377
01-01-2017,2017,9910.688347
01-01-2018,2018,9910.715013
01-01-2019,2019,9911.975013
01-01-2020,2020,10179.21501
