date,year,month,day,7321002
01-01-1979,1979,1,1,157.779
01-02-1979,1979,2,1,121.856
01-03-1979,1979,3,1,108.504
01-04-1979,1979,4,1,70.288
01-05-1979,1979,5,1,36.293
01-06-1979,1979,6,1,27.207
01-07-1979,1979,7,1,30.541
01-08-1979,1979,8,1,39.085
01-09-1979,1979,9,1,49.542
01-10-1979,1979,10,1,84.774
01-11-1979,1979,11,1,96.502
01-12-1979,1979,12,1,119.958
01-01-1980,1980,1,1,154.001
01-02-1980,1980,2,1,109.707
01-03-1980,1980,3,1,112.802
01-04-1980,1980,4,1,48.852
01-05-1980,1980,5,1,32.203
01-06-1980,1980,6,1,24.581
01-07-1980,1980,7,1,26.596
01-08-1980,1980,8,1,40.643
01-09-1980,1980,9,1,62.958
01-10-1980,1980,10,1,89.853
01-11-1980,1980,11,1,103.264
01-12-1980,1980,12,1,129.199
01-01-1981,1981,1,1,135.114
01-02-1981,1981,2,1,128.284
01-03-1981,1981,3,1,105.583
01-04-1981,1981,4,1,64.219
01-05-1981,1981,5,1,31.485
01-06-1981,1981,6,1,24.534
01-07-1981,1981,7,1,28.939
01-08-1981,1981,8,1,40.491
01-09-1981,1981,9,1,56.72
01-10-1981,1981,10,1,83.203
01-11-1981,1981,11,1,105.449
01-12-1981,1981,12,1,137.877
01-01-1982,1982,1,1,148.357
01-02-1982,1982,2,1,116.07
01-03-1982,1982,3,1,104.321
01-04-1982,1982,4,1,69.575
01-05-1982,1982,5,1,37.271
01-06-1982,1982,6,1,20.653
01-07-1982,1982,7,1,24.627
01-08-1982,1982,8,1,39.315
01-09-1982,1982,9,1,54.724
01-10-1982,1982,10,1,79.102
01-11-1982,1982,11,1,97.047
01-12-1982,1982,12,1,131.892
01-01-1983,1983,1,1,134.6
01-02-1983,1983,2,1,124.259
01-03-1983,1983,3,1,104.394
01-04-1983,1983,4,1,63.77
01-05-1983,1983,5,1,33.424
01-06-1983,1983,6,1,20.249
01-07-1983,1983,7,1,25.036
01-08-1983,1983,8,1,36.713
01-09-1983,1983,9,1,52.41
01-10-1983,1983,10,1,91.953
01-11-1983,1983,11,1,121.093
01-12-1983,1983,12,1,148.865
01-01-1984,1984,1,1,145.433
01-02-1984,1984,2,1,121.343
01-03-1984,1984,3,1,103.095
01-04-1984,1984,4,1,63.469
01-05-1984,1984,5,1,28.71
01-06-1984,1984,6,1,18.992
01-07-1984,1984,7,1,25.951
01-08-1984,1984,8,1,37.567
01-09-1984,1984,9,1,54.851
01-10-1984,1984,10,1,83.109
01-11-1984,1984,11,1,100.305
01-12-1984,1984,12,1,131.228
01-01-1985,1985,1,1,137.856
01-02-1985,1985,2,1,123.731
01-03-1985,1985,3,1,100.969
01-04-1985,1985,4,1,58.427
01-05-1985,1985,5,1,38.681
01-06-1985,1985,6,1,28.937
01-07-1985,1985,7,1,27.202
01-08-1985,1985,8,1,39.709
01-09-1985,1985,9,1,60.418
01-10-1985,1985,10,1,77.321
01-11-1985,1985,11,1,114.71
01-12-1985,1985,12,1,142.728
01-01-1986,1986,1,1,146.299
01-02-1986,1986,2,1,119.916
01-03-1986,1986,3,1,101.875
01-04-1986,1986,4,1,55.668
01-05-1986,1986,5,1,34.147
01-06-1986,1986,6,1,23.283
01-07-1986,1986,7,1,32.728
01-08-1986,1986,8,1,38.614
01-09-1986,1986,9,1,56.866
01-10-1986,1986,10,1,90.049
01-11-1986,1986,11,1,94.151
01-12-1986,1986,12,1,140.761
01-01-1987,1987,1,1,157.307
01-02-1987,1987,2,1,127.945
01-03-1987,1987,3,1,107.363
01-04-1987,1987,4,1,65.478
01-05-1987,1987,5,1,32.599
01-06-1987,1987,6,1,27.099
01-07-1987,1987,7,1,25.733
01-08-1987,1987,8,1,35.713
01-09-1987,1987,9,1,55.09
01-10-1987,1987,10,1,86.425
01-11-1987,1987,11,1,121.832
01-12-1987,1987,12,1,139.954
01-01-1988,1988,1,1,146.118
01-02-1988,1988,2,1,132.141
01-03-1988,1988,3,1,99.721
01-04-1988,1988,4,1,64.562
01-05-1988,1988,5,1,39.657
01-06-1988,1988,6,1,24.989
01-07-1988,1988,7,1,26.065
01-08-1988,1988,8,1,34.426
01-09-1988,1988,9,1,54.754
01-10-1988,1988,10,1,85.65
01-11-1988,1988,11,1,119.6
01-12-1988,1988,12,1,140.515
01-01-1989,1989,1,1,152.86
01-02-1989,1989,2,1,131.266
01-03-1989,1989,3,1,105.932
01-04-1989,1989,4,1,70.146
01-05-1989,1989,5,1,41.928
01-06-1989,1989,6,1,28.713
01-07-1989,1989,7,1,27.676
01-08-1989,1989,8,1,36.105
01-09-1989,1989,9,1,57.856
01-10-1989,1989,10,1,92.019
01-11-1989,1989,11,1,124.618
01-12-1989,1989,12,1,138.526
01-01-1990,1990,1,1,154.508
01-02-1990,1990,2,1,121.185
01-03-1990,1990,3,1,102.861
01-04-1990,1990,4,1,55.041
01-05-1990,1990,5,1,35.951
01-06-1990,1990,6,1,28.319
01-07-1990,1990,7,1,27.625
01-08-1990,1990,8,1,44.837
01-09-1990,1990,9,1,58.158
01-10-1990,1990,10,1,89.983
01-11-1990,1990,11,1,121.44
01-12-1990,1990,12,1,136.16
01-01-1991,1991,1,1,143.921
01-02-1991,1991,2,1,126.369
01-03-1991,1991,3,1,110.387
01-04-1991,1991,4,1,61.419
01-05-1991,1991,5,1,37.956
01-06-1991,1991,6,1,24.63
01-07-1991,1991,7,1,24.46
01-08-1991,1991,8,1,40.502
01-09-1991,1991,9,1,60.964
01-10-1991,1991,10,1,84.705
01-11-1991,1991,11,1,111.071
01-12-1991,1991,12,1,114.433
01-01-1992,1992,1,1,150.901
01-02-1992,1992,2,1,118.299
01-03-1992,1992,3,1,105.706
01-04-1992,1992,4,1,55.366
01-05-1992,1992,5,1,27.851
01-06-1992,1992,6,1,20.771
01-07-1992,1992,7,1,23.629
01-08-1992,1992,8,1,41.267
01-09-1992,1992,9,1,60.425
01-10-1992,1992,10,1,88.236
01-11-1992,1992,11,1,114.586
01-12-1992,1992,12,1,134.65
01-01-1993,1993,1,1,148.437
01-02-1993,1993,2,1,127.004
01-03-1993,1993,3,1,112.375
01-04-1993,1993,4,1,58.506
01-05-1993,1993,5,1,28.788
01-06-1993,1993,6,1,22.514
01-07-1993,1993,7,1,24.682
01-08-1993,1993,8,1,41.155
01-09-1993,1993,9,1,57.089
01-10-1993,1993,10,1,85.545
01-11-1993,1993,11,1,108.076
01-12-1993,1993,12,1,138.746
01-01-1994,1994,1,1,151.831
01-02-1994,1994,2,1,117.644
01-03-1994,1994,3,1,110.663
01-04-1994,1994,4,1,61.832
01-05-1994,1994,5,1,39.919
01-06-1994,1994,6,1,24.195
01-07-1994,1994,7,1,24.741
01-08-1994,1994,8,1,39.699
01-09-1994,1994,9,1,61.822
01-10-1994,1994,10,1,84.522
01-11-1994,1994,11,1,121.346
01-12-1994,1994,12,1,145.338
01-01-1995,1995,1,1,149.827
01-02-1995,1995,2,1,120.696
01-03-1995,1995,3,1,107.699
01-04-1995,1995,4,1,61.348
01-05-1995,1995,5,1,45.376
01-06-1995,1995,6,1,24.77
01-07-1995,1995,7,1,20.628
01-08-1995,1995,8,1,33.401
01-09-1995,1995,9,1,60.482
01-10-1995,1995,10,1,87.149
01-11-1995,1995,11,1,123.261
01-12-1995,1995,12,1,159.365
