date,year,month,day,7321002
01-01-1979,1979,1,1,2.556365793
01-02-1979,1979,2,1,8.1459594
01-03-1979,1979,3,1,0.00134216
01-04-1979,1979,4,1,16.65484944
01-05-1979,1979,5,1,215.5020658
01-06-1979,1979,6,1,32.73288829
01-07-1979,1979,7,1,702.07838
01-08-1979,1979,8,1,449.1542346
01-09-1979,1979,9,1,227.1676782
01-10-1979,1979,10,1,18.08432664
01-11-1979,1979,11,1,132.5681107
01-12-1979,1979,12,1,102.1841436
01-01-1980,1980,1,1,1.008949732
01-02-1980,1980,2,1,96.01748911
01-03-1980,1980,3,1,13.9884078
01-04-1980,1980,4,1,479.3105143
01-05-1980,1980,5,1,560.8949223
01-06-1980,1980,6,1,410.7487753
01-07-1980,1980,7,1,331.7569506
01-08-1980,1980,8,1,87.03164791
01-09-1980,1980,9,1,97.20530593
01-10-1980,1980,10,1,0.891069239
01-11-1980,1980,11,1,52.61944352
01-12-1980,1980,12,1,34.46903387
01-01-1981,1981,1,1,24.59995751
01-02-1981,1981,2,1,5.27581016
01-03-1981,1981,3,1,18.02817366
01-04-1981,1981,4,1,112.8744467
01-05-1981,1981,5,1,900.0131855
01-06-1981,1981,6,1,144.7381557
01-07-1981,1981,7,1,228.5181753
01-08-1981,1981,8,1,230.6679874
01-09-1981,1981,9,1,115.2167217
01-10-1981,1981,10,1,42.33896198
01-11-1981,1981,11,1,36.47437894
01-12-1981,1981,12,1,2.522109114
01-01-1982,1982,1,1,7.151955207
01-02-1982,1982,2,1,21.4334218
01-03-1982,1982,3,1,46.59759267
01-04-1982,1982,4,1,33.17317817
01-05-1982,1982,5,1,455.3260991
01-06-1982,1982,6,1,714.9478797
01-07-1982,1982,7,1,540.4352955
01-08-1982,1982,8,1,318.9949559
01-09-1982,1982,9,1,402.8886966
01-10-1982,1982,10,1,255.5247472
01-11-1982,1982,11,1,22.45242028
01-12-1982,1982,12,1,3.99910007
01-01-1983,1983,1,1,32.64474907
01-02-1983,1983,2,1,8.969651174
01-03-1983,1983,3,1,5.305426601
01-04-1983,1983,4,1,59.97446944
01-05-1983,1983,5,1,179.8001448
01-06-1983,1983,6,1,402.8268426
01-07-1983,1983,7,1,301.6725499
01-08-1983,1983,8,1,189.2564554
01-09-1983,1983,9,1,89.81999613
01-10-1983,1983,10,1,17.98502493
01-11-1983,1983,11,1,1.980049547
01-12-1983,1983,12,1,9.329653948
01-01-1984,1984,1,1,14.46534731
01-02-1984,1984,2,1,5.259679417
01-03-1984,1984,3,1,43.24592333
01-04-1984,1984,4,1,46.43968623
01-05-1984,1984,5,1,413.7137361
01-06-1984,1984,6,1,295.1668278
01-07-1984,1984,7,1,618.7474011
01-08-1984,1984,8,1,112.1256487
01-09-1984,1984,9,1,242.715741
01-10-1984,1984,10,1,146.7000894
01-11-1984,1984,11,1,46.1386812
01-12-1984,1984,12,1,1.593582639
01-01-1985,1985,1,1,11.54074944
