date,year,month,day,7321002
01-01-1979,1979,1,1,22.34747658
01-02-1979,1979,2,1,20.91859204
01-03-1979,1979,3,1,20.06336423
01-04-1979,1979,4,1,16.57744422
01-05-1979,1979,5,1,9.228661839
01-06-1979,1979,6,1,6.85661313
01-07-1979,1979,7,1,7.814612016
01-08-1979,1979,8,1,7.501222935
01-09-1979,1979,9,1,6.604311247
01-10-1979,1979,10,1,11.3785004
01-11-1979,1979,11,1,13.19307354
01-12-1979,1979,12,1,15.99071246
01-01-1980,1980,1,1,21.98602848
01-02-1980,1980,2,1,19.10584907
01-03-1980,1980,3,1,21.79835632
01-04-1980,1980,4,1,10.72030064
01-05-1980,1980,5,1,8.477451977
01-06-1980,1980,6,1,6.449269356
01-07-1980,1980,7,1,5.166597173
01-08-1980,1980,8,1,7.116772113
01-09-1980,1980,9,1,10.34705849
01-10-1980,1980,10,1,12.15517006
01-11-1980,1980,11,1,13.52701222
01-12-1980,1980,12,1,17.15940575
01-01-1981,1981,1,1,18.98407342
01-02-1981,1981,2,1,22.44767732
01-03-1981,1981,3,1,19.77086806
01-04-1981,1981,4,1,14.96872502
01-05-1981,1981,5,1,8.575963732
01-06-1981,1981,6,1,6.27485893
01-07-1981,1981,7,1,6.510570229
01-08-1981,1981,8,1,7.468666068
01-09-1981,1981,9,1,8.387844127
01-10-1981,1981,10,1,10.96747813
01-11-1981,1981,11,1,14.21687798
01-12-1981,1981,12,1,18.14794939
01-01-1982,1982,1,1,20.99527635
01-02-1982,1982,2,1,19.99101821
01-03-1982,1982,3,1,19.27331588
01-04-1982,1982,4,1,16.72419258
01-05-1982,1982,5,1,9.842834132
01-06-1982,1982,6,1,4.253661593
01-07-1982,1982,7,1,5.000204397
01-08-1982,1982,8,1,7.04792764
01-09-1982,1982,9,1,9.06224931
01-10-1982,1982,10,1,10.27705864
01-11-1982,1982,11,1,12.67652813
01-12-1982,1982,12,1,17.6176292
01-01-1983,1983,1,1,19.02784197
01-02-1983,1983,2,1,21.55683989
01-03-1983,1983,3,1,19.55647355
01-04-1983,1983,4,1,14.76018731
01-05-1983,1983,5,1,7.260005727
01-06-1983,1983,6,1,3.134982049
01-07-1983,1983,7,1,4.316482295
01-08-1983,1983,8,1,5.866192181
01-09-1983,1983,9,1,7.052776048
01-10-1983,1983,10,1,13.23560324
01-11-1983,1983,11,1,16.9457074
01-12-1983,1983,12,1,20.60398384
01-01-1984,1984,1,1,20.76203677
01-02-1984,1984,2,1,20.22696872
01-03-1984,1984,3,1,19.38358255
01-04-1984,1984,4,1,14.43394901
01-05-1984,1984,5,1,5.882863698
01-06-1984,1984,6,1,2.629427433
01-07-1984,1984,7,1,4.789397839
01-08-1984,1984,8,1,5.341504099
01-09-1984,1984,9,1,8.319183437
01-10-1984,1984,10,1,11.2334611
01-11-1984,1984,11,1,13.04522843
01-12-1984,1984,12,1,17.19935158
01-01-1985,1985,1,1,19.47549706
01-02-1985,1985,2,1,21.27182886
01-03-1985,1985,3,1,18.82892466
01-04-1985,1985,4,1,13.36600726
01-05-1985,1985,5,1,10.49044774
01-06-1985,1985,6,1,8.935497653
01-07-1985,1985,7,1,5.465167005
01-08-1985,1985,8,1,6.587471311
01-09-1985,1985,9,1,9.79886569
01-10-1985,1985,10,1,10.59303658
01-11-1985,1985,11,1,16.04553728
01-12-1985,1985,12,1,19.39771923
01-01-1986,1986,1,1,20.42294055
01-02-1986,1986,2,1,20.99050764
01-03-1986,1986,3,1,18.77702318
01-04-1986,1986,4,1,12.9653865
01-05-1986,1986,5,1,8.801321455
01-06-1986,1986,6,1,6.00894484
01-07-1986,1986,7,1,8.479536787
01-08-1986,1986,8,1,6.990358216
01-09-1986,1986,9,1,8.870670947
01-10-1986,1986,10,1,13.03956366
01-11-1986,1986,11,1,12.59488377
01-12-1986,1986,12,1,19.20958452
01-01-1987,1987,1,1,22.25719161
01-02-1987,1987,2,1,22.87971764
01-03-1987,1987,3,1,20.15311952
01-04-1987,1987,4,1,15.5553291
01-05-1987,1987,5,1,7.06835141
01-06-1987,1987,6,1,7.913422383
01-07-1987,1987,7,1,5.317054766
01-08-1987,1987,8,1,5.409702385
01-09-1987,1987,9,1,8.011780277
01-10-1987,1987,10,1,12.09185572
01-11-1987,1987,11,1,17.11232231
01-12-1987,1987,12,1,18.74568984
01-01-1988,1988,1,1,20.42168329
01-02-1988,1988,2,1,22.60642576
01-03-1988,1988,3,1,18.66172837
01-04-1988,1988,4,1,15.28132153
01-05-1988,1988,5,1,10.63840332
01-06-1988,1988,6,1,6.30335522
01-07-1988,1988,7,1,4.329396392
01-08-1988,1988,8,1,4.913608283
01-09-1988,1988,9,1,7.524380867
01-10-1988,1988,10,1,11.44240081
01-11-1988,1988,11,1,16.5978409
01-12-1988,1988,12,1,18.86141826
01-01-1989,1989,1,1,21.94470416
01-02-1989,1989,2,1,23.20613407
01-03-1989,1989,3,1,19.36481755
01-04-1989,1989,4,1,16.68591747
01-05-1989,1989,5,1,11.53622355
01-06-1989,1989,6,1,8.725793507
01-07-1989,1989,7,1,5.673651996
01-08-1989,1989,8,1,5.799413312
01-09-1989,1989,9,1,8.596722423
01-10-1989,1989,10,1,12.97022896
01-11-1989,1989,11,1,17.63297783
01-12-1989,1989,12,1,18.765085
01-01-1990,1990,1,1,21.63891003
01-02-1990,1990,2,1,21.31914725
01-03-1990,1990,3,1,18.48636717
01-04-1990,1990,4,1,12.50383393
01-05-1990,1990,5,1,8.949844303
01-06-1990,1990,6,1,8.309474877
01-07-1990,1990,7,1,5.550899813
01-08-1990,1990,8,1,9.401096506
01-09-1990,1990,9,1,9.049762983
01-10-1990,1990,10,1,12.57937256
01-11-1990,1990,11,1,16.65970326
01-12-1990,1990,12,1,18.61680232
01-01-1991,1991,1,1,20.09232039
01-02-1991,1991,2,1,22.04992321
01-03-1991,1991,3,1,20.82295277
01-04-1991,1991,4,1,14.71159925
01-05-1991,1991,5,1,10.84336725
01-06-1991,1991,6,1,6.40368612
