date,year,month,day,7321002
01-01-1979,1979,1,1,7.669439471
01-02-1979,1979,2,1,6.407358714
01-03-1979,1979,3,1,5.560496677
01-04-1979,1979,4,1,2.525751299
01-05-1979,1979,5,1,-0.599068473
01-06-1979,1979,6,1,-4.128539964
01-07-1979,1979,7,1,-1.888339067
01-08-1979,1979,8,1,-1.51493705
01-09-1979,1979,9,1,-3.618839629
01-10-1979,1979,10,1,-0.05368477
01-11-1979,1979,11,1,3.279656911
01-12-1979,1979,12,1,5.190893081
01-01-1980,1980,1,1,7.892263297
01-02-1980,1980,2,1,8.0338192
01-03-1980,1980,3,1,7.649270184
01-04-1980,1980,4,1,1.591598677
01-05-1980,1980,5,1,0.772640502
01-06-1980,1980,6,1,-1.570260611
01-07-1980,1980,7,1,-3.847485353
01-08-1980,1980,8,1,-3.211810905
01-09-1980,1980,9,1,-1.582435233
01-10-1980,1980,10,1,-0.183277134
01-11-1980,1980,11,1,2.039116893
01-12-1980,1980,12,1,5.216544183
01-01-1981,1981,1,1,6.476772658
01-02-1981,1981,2,1,7.733284064
01-03-1981,1981,3,1,6.633435187
01-04-1981,1981,4,1,3.144487218
01-05-1981,1981,5,1,1.444001734
01-06-1981,1981,6,1,-2.103720472
01-07-1981,1981,7,1,-2.814144039
01-08-1981,1981,8,1,-2.340480061
01-09-1981,1981,9,1,-2.599073976
01-10-1981,1981,10,1,-0.227879306
01-11-1981,1981,11,1,2.670003121
01-12-1981,1981,12,1,4.956869642
01-01-1982,1982,1,1,7.261234503
01-02-1982,1982,2,1,6.574745721
01-03-1982,1982,3,1,5.735177848
01-04-1982,1982,4,1,3.595924148
01-05-1982,1982,5,1,0.33604668
01-06-1982,1982,6,1,-2.520064174
01-07-1982,1982,7,1,-2.192955315
01-08-1982,1982,8,1,-2.772950999
01-09-1982,1982,9,1,-0.1067795
01-10-1982,1982,10,1,-0.373044587
01-11-1982,1982,11,1,1.9595087
01-12-1982,1982,12,1,5.481267656
01-01-1983,1983,1,1,6.759094081
01-02-1983,1983,2,1,7.362992364
01-03-1983,1983,3,1,6.176036713
01-04-1983,1983,4,1,2.524161445
01-05-1983,1983,5,1,-2.377290332
01-06-1983,1983,6,1,-4.990569507
01-07-1983,1983,7,1,-4.387452898
