date,year,7322001
01-01-1979,1979,0
01-01-1980,1980,0
01-01-1981,1981,0
01-01-1982,1982,0
01-01-1983,1983,14.8
01-01-1984,1984,14.8
01-01-1985,1985,14.8
01-01-1986,1986,14.8
01-01-1987,1987,14.8
01-01-1988,1988,14.8
01-01-1989,1989,14.8
01-01-1990,1990,14.8
01-01-1991,1991,14.8
01-01-1992,1992,14.8
01-01-1993,1993,14.8
01-01-1994,1994,14.8
01-01-1995,1995,14.8
01-01-1996,1996,14.8
01-01-1997,1997,14.8
01-01-1998,1998,14.8
01-01-1999,1999,14.8
01-01-2000,2000,55.8
01-01-2001,2001,171.8
01-01-2002,2002,356.8
01-01-2003,2003,360.8
01-01-2004,2004,445.8
01-01-2005,2005,445.8
01-01-2006,2006,449.29
01-01-2007,2007,641.59
01-01-2008,2008,641.59
01-01-2009,2009,1303.59
01-01-2010,2010,1305.37
01-01-2011,2011,1614.37
01-01-2012,2012,1650.37
01-01-2013,2013,1699.37
01-01-2014,2014,1769.47
01-01-2015,2015,1909.22
01-01-2016,2016,1946.02
01-01-2017,2017,1993.91
01-01-2018,2018,2131.24
01-01-2019,2019,2189.74
01-01-2020,2020,2269.74
