date,year,7322001
01-01-1979,1979,2.511415524
01-01-1980,1980,2.511415524
01-01-1981,1981,41.66141552
01-01-1982,1982,41.66141552
01-01-1983,1983,284.9614155
01-01-1984,1984,284.9614155
01-01-1985,1985,299.9614155
01-01-1986,1986,299.9614155
01-01-1987,1987,322.4614155
01-01-1988,1988,322.4614155
01-01-1989,1989,722.4614155
01-01-1990,1990,867.0314155
01-01-1991,1991,992.6814155
01-01-1992,1992,1465.691416
01-01-1993,1993,1516.861416
01-01-1994,1994,6200.323236
01-01-1995,1995,6626.964356
01-01-1996,1996,7379.413816
01-01-1997,1997,9185.236556
01-01-1998,1998,9316.942556
01-01-1999,1999,10568.12814
01-01-2000,2000,10676.2258
01-01-2001,2001,10941.5458
01-01-2002,2002,11547.98176
01-01-2003,2003,11578.28593
01-01-2004,2004,11825.39106
01-01-2005,2005,12032.4829
01-01-2006,2006,12384.3679
01-01-2007,2007,12710.00398
01-01-2008,2008,12959.66512
01-01-2009,2009,13105.99846
01-01-2010,2010,13300.58088
01-01-2011,2011,13611.44748
01-01-2012,2012,13991.53098
01-01-2013,2013,14408.56311
01-01-2014,2014,15136.54379
01-01-2015,2015,15779.24443
01-01-2016,2016,17460.39213
01-01-2017,2017,17226.95671
01-01-2018,2018,17271.98337
01-01-2019,2019,17333.24337
01-01-2020,2020,17600.48337
