date,year,month,day,7322001
01-01-1979,1979,1,1,161.175
01-02-1979,1979,2,1,124.9
01-03-1979,1979,3,1,110.468
01-04-1979,1979,4,1,71.659
01-05-1979,1979,5,1,37.87
01-06-1979,1979,6,1,28.217
01-07-1979,1979,7,1,31.709
01-08-1979,1979,8,1,40.712
01-09-1979,1979,9,1,52.123
01-10-1979,1979,10,1,88.359
01-11-1979,1979,11,1,100.776
01-12-1979,1979,12,1,125.207
01-01-1980,1980,1,1,158.19
01-02-1980,1980,2,1,113.852
01-03-1980,1980,3,1,114.965
01-04-1980,1980,4,1,51.093
01-05-1980,1980,5,1,33.788
01-06-1980,1980,6,1,25.749
01-07-1980,1980,7,1,28.101
01-08-1980,1980,8,1,42.614
01-09-1980,1980,9,1,65.416
01-10-1980,1980,10,1,93.467
01-11-1980,1980,11,1,107.866
01-12-1980,1980,12,1,134.745
01-01-1981,1981,1,1,139.875
01-02-1981,1981,2,1,131.094
01-03-1981,1981,3,1,108.206
01-04-1981,1981,4,1,65.996
01-05-1981,1981,5,1,33.193
01-06-1981,1981,6,1,25.718
01-07-1981,1981,7,1,30.336
01-08-1981,1981,8,1,42.379
01-09-1981,1981,9,1,59.527
01-10-1981,1981,10,1,86.835
01-11-1981,1981,11,1,109.685
01-12-1981,1981,12,1,142.634
01-01-1982,1982,1,1,152.515
01-02-1982,1982,2,1,119.668
01-03-1982,1982,3,1,106.987
01-04-1982,1982,4,1,70.984
01-05-1982,1982,5,1,38.591
01-06-1982,1982,6,1,21.824
01-07-1982,1982,7,1,25.98
01-08-1982,1982,8,1,41.22
01-09-1982,1982,9,1,56.94
01-10-1982,1982,10,1,82.331
01-11-1982,1982,11,1,101.615
01-12-1982,1982,12,1,137.989
01-01-1983,1983,1,1,139.975
01-02-1983,1983,2,1,127.544
01-03-1983,1983,3,1,106.585
01-04-1983,1983,4,1,65.56
01-05-1983,1983,5,1,34.913
01-06-1983,1983,6,1,21.445
01-07-1983,1983,7,1,26.448
01-08-1983,1983,8,1,38.623
01-09-1983,1983,9,1,54.996
01-10-1983,1983,10,1,95.607
01-11-1983,1983,11,1,125.394
01-12-1983,1983,12,1,152.902
01-01-1984,1984,1,1,150.096
01-02-1984,1984,2,1,124.739
01-03-1984,1984,3,1,105.632
01-04-1984,1984,4,1,65.423
01-05-1984,1984,5,1,30.331
01-06-1984,1984,6,1,20.161
01-07-1984,1984,7,1,27.263
01-08-1984,1984,8,1,39.572
01-09-1984,1984,9,1,57.3
01-10-1984,1984,10,1,86.44
01-11-1984,1984,11,1,104.22
01-12-1984,1984,12,1,136.358
01-01-1985,1985,1,1,142.347
01-02-1985,1985,2,1,126.935
01-03-1985,1985,3,1,103.486
01-04-1985,1985,4,1,60.06
01-05-1985,1985,5,1,39.866
01-06-1985,1985,6,1,30.03
01-07-1985,1985,7,1,28.59
01-08-1985,1985,8,1,41.687
01-09-1985,1985,9,1,62.889
01-10-1985,1985,10,1,80.583
01-11-1985,1985,11,1,118.403
01-12-1985,1985,12,1,146.776
01-01-1986,1986,1,1,150.376
01-02-1986,1986,2,1,123.149
01-03-1986,1986,3,1,104.393
01-04-1986,1986,4,1,57.649
01-05-1986,1986,5,1,35.633
01-06-1986,1986,6,1,24.392
01-07-1986,1986,7,1,34.028
01-08-1986,1986,8,1,40.384
01-09-1986,1986,9,1,59.445
01-10-1986,1986,10,1,93.553
01-11-1986,1986,11,1,98.574
01-12-1986,1986,12,1,145.088
01-01-1987,1987,1,1,161.079
01-02-1987,1987,2,1,130.686
01-03-1987,1987,3,1,109.732
01-04-1987,1987,4,1,67.005
01-05-1987,1987,5,1,34.177
01-06-1987,1987,6,1,28.233
01-07-1987,1987,7,1,26.992
01-08-1987,1987,8,1,37.642
01-09-1987,1987,9,1,57.749
01-10-1987,1987,10,1,89.865
01-11-1987,1987,11,1,125.585
01-12-1987,1987,12,1,144.319
01-01-1988,1988,1,1,150.363
01-02-1988,1988,2,1,135.437
01-03-1988,1988,3,1,102.458
01-04-1988,1988,4,1,66.217
01-05-1988,1988,5,1,40.783
01-06-1988,1988,6,1,26.041
01-07-1988,1988,7,1,27.499
01-08-1988,1988,8,1,36.324
01-09-1988,1988,9,1,57.4
01-10-1988,1988,10,1,89.382
01-11-1988,1988,11,1,123.53
01-12-1988,1988,12,1,144.891
01-01-1989,1989,1,1,157.03
01-02-1989,1989,2,1,134.111
01-03-1989,1989,3,1,108.294
01-04-1989,1989,4,1,71.545
01-05-1989,1989,5,1,42.997
01-06-1989,1989,6,1,29.615
01-07-1989,1989,7,1,29.042
01-08-1989,1989,8,1,37.908
01-09-1989,1989,9,1,60.487
01-10-1989,1989,10,1,95.468
01-11-1989,1989,11,1,128.101
01-12-1989,1989,12,1,142.809
01-01-1990,1990,1,1,158.457
01-02-1990,1990,2,1,124.401
01-03-1990,1990,3,1,105.483
01-04-1990,1990,4,1,57.146
01-05-1990,1990,5,1,37.399
01-06-1990,1990,6,1,29.37
01-07-1990,1990,7,1,28.938
01-08-1990,1990,8,1,46.581
01-09-1990,1990,9,1,60.501
01-10-1990,1990,10,1,92.673
01-11-1990,1990,11,1,124.514
01-12-1990,1990,12,1,140.229
01-01-1991,1991,1,1,148.11
01-02-1991,1991,2,1,129.369
01-03-1991,1991,3,1,112.46
01-04-1991,1991,4,1,63.203
01-05-1991,1991,5,1,39.194
01-06-1991,1991,6,1,25.839
01-07-1991,1991,7,1,25.836
01-08-1991,1991,8,1,42.412
01-09-1991,1991,9,1,63.089
01-10-1991,1991,10,1,88.387
01-11-1991,1991,11,1,114.767
01-12-1991,1991,12,1,119.406
01-01-1992,1992,1,1,155.03
01-02-1992,1992,2,1,121.928
01-03-1992,1992,3,1,107.98
01-04-1992,1992,4,1,57.235
01-05-1992,1992,5,1,29.58
01-06-1992,1992,6,1,21.871
01-07-1992,1992,7,1,25.073
01-08-1992,1992,8,1,43.126
01-09-1992,1992,9,1,62.878
01-10-1992,1992,10,1,91.563
01-11-1992,1992,11,1,118.241
01-12-1992,1992,12,1,139.216
01-01-1993,1993,1,1,152.796
01-02-1993,1993,2,1,129.894
01-03-1993,1993,3,1,114.817
01-04-1993,1993,4,1,60.494
01-05-1993,1993,5,1,30.475
01-06-1993,1993,6,1,23.708
01-07-1993,1993,7,1,26.165
01-08-1993,1993,8,1,43.039
01-09-1993,1993,9,1,59.791
01-10-1993,1993,10,1,88.997
01-11-1993,1993,11,1,112.105
01-12-1993,1993,12,1,142.78
01-01-1994,1994,1,1,155.92
01-02-1994,1994,2,1,121.096
01-03-1994,1994,3,1,112.738
01-04-1994,1994,4,1,63.588
01-05-1994,1994,5,1,41.117
01-06-1994,1994,6,1,25.378
01-07-1994,1994,7,1,26.177
01-08-1994,1994,8,1,41.578
01-09-1994,1994,9,1,64.323
01-10-1994,1994,10,1,87.988
01-11-1994,1994,11,1,124.742
01-12-1994,1994,12,1,149.134
01-01-1995,1995,1,1,153.963
01-02-1995,1995,2,1,124.049
01-03-1995,1995,3,1,109.946
01-04-1995,1995,4,1,63.247
01-05-1995,1995,5,1,46.468
01-06-1995,1995,6,1,25.883
01-07-1995,1995,7,1,22.046
01-08-1995,1995,8,1,35.447
01-09-1995,1995,9,1,62.992
01-10-1995,1995,10,1,90.692
01-11-1995,1995,11,1,126.459
01-12-1995,1995,12,1,162.592
01-01-1996,1996,1,1,143.934
01-02-1996,1996,2,1,128.528
01-03-1996,1996,3,1,106.384
01-04-1996,1996,4,1,58.193
01-05-1996,1996,5,1,43.043
01-06-1996,1996,6,1,26.687
01-07-1996,1996,7,1,33.495
01-08-1996,1996,8,1,42.035
01-09-1996,1996,9,1,65.987
01-10-1996,1996,10,1,93.949
01-11-1996,1996,11,1,128.876
01-12-1996,1996,12,1,142.863
01-01-1997,1997,1,1,151.309
01-02-1997,1997,2,1,127.855
