date,year,month,day,7322001
01-01-1979,1979,1,1,2.359090112
01-02-1979,1979,2,1,8.77541443
01-03-1979,1979,3,1,0.001207786
01-04-1979,1979,4,1,17.12623429
01-05-1979,1979,5,1,207.5272702
01-06-1979,1979,6,1,32.80981479
01-07-1979,1979,7,1,681.9596252
01-08-1979,1979,8,1,436.9011589
01-09-1979,1979,9,1,222.0605482
01-10-1979,1979,10,1,16.95693227
01-11-1979,1979,11,1,131.6371229
01-12-1979,1979,12,1,101.9944191
01-01-1980,1980,1,1,0.908031573
01-02-1980,1980,2,1,93.20862814
01-03-1980,1980,3,1,13.9288213
01-04-1980,1980,4,1,466.6503815
01-05-1980,1980,5,1,544.7746823
01-06-1980,1980,6,1,404.696805
01-07-1980,1980,7,1,329.0726252
01-08-1980,1980,8,1,86.99223369
01-09-1980,1980,9,1,96.21418625
01-10-1980,1980,10,1,0.854502092
01-11-1980,1980,11,1,51.39630866
01-12-1980,1980,12,1,34.42133457
01-01-1981,1981,1,1,23.7374807
01-02-1981,1981,2,1,5.270472467
01-03-1981,1981,3,1,18.1382021
01-04-1981,1981,4,1,111.4920456
01-05-1981,1981,5,1,872.4311091
01-06-1981,1981,6,1,143.6971084
01-07-1981,1981,7,1,224.131501
01-08-1981,1981,8,1,225.9326116
01-09-1981,1981,9,1,111.5872141
01-10-1981,1981,10,1,41.21890724
01-11-1981,1981,11,1,34.19182431
01-12-1981,1981,12,1,2.269656436
01-01-1982,1982,1,1,7.110548457
01-02-1982,1982,2,1,20.84660599
01-03-1982,1982,3,1,45.27757886
01-04-1982,1982,4,1,33.24759114
01-05-1982,1982,5,1,446.3817785
01-06-1982,1982,6,1,704.1055408
01-07-1982,1982,7,1,520.9743688
01-08-1982,1982,8,1,309.8116944
01-09-1982,1982,9,1,393.0396963
01-10-1982,1982,10,1,250.9430889
01-11-1982,1982,11,1,21.23695505
01-12-1982,1982,12,1,3.711490546
01-01-1983,1983,1,1,31.22816114
01-02-1983,1983,2,1,8.223785885
01-03-1983,1983,3,1,4.862093404
01-04-1983,1983,4,1,58.14012326
01-05-1983,1983,5,1,179.8164726
01-06-1983,1983,6,1,396.245727
01-07-1983,1983,7,1,301.0787826
01-08-1983,1983,8,1,188.8807433
01-09-1983,1983,9,1,90.79196873
01-10-1983,1983,10,1,17.131527
01-11-1983,1983,11,1,2.201686444
01-12-1983,1983,12,1,8.819711085
01-01-1984,1984,1,1,13.36119787
01-02-1984,1984,2,1,5.555990546
01-03-1984,1984,3,1,41.2509501
01-04-1984,1984,4,1,46.49898627
01-05-1984,1984,5,1,405.0645988
01-06-1984,1984,6,1,289.6847883
01-07-1984,1984,7,1,606.321205
01-08-1984,1984,8,1,112.9293643
01-09-1984,1984,9,1,235.6785041
01-10-1984,1984,10,1,142.1821236
01-11-1984,1984,11,1,45.23322848
01-12-1984,1984,12,1,1.43548898
01-01-1985,1985,1,1,11.51037486
01-02-1985,1985,2,1,0.886331566
01-03-1985,1985,3,1,35.66031098
01-04-1985,1985,4,1,91.93769858
01-05-1985,1985,5,1,304.9129424
01-06-1985,1985,6,1,161.3622795
01-07-1985,1985,7,1,245.0420473
01-08-1985,1985,8,1,45.09180892
01-09-1985,1985,9,1,120.747575
01-10-1985,1985,10,1,190.5326121
01-11-1985,1985,11,1,42.78596046
01-12-1985,1985,12,1,0.868654303
01-01-1986,1986,1,1,5.147421811
01-02-1986,1986,2,1,11.10164535
01-03-1986,1986,3,1,33.0119345
01-04-1986,1986,4,1,269.5679154
01-05-1986,1986,5,1,531.3794597
01-06-1986,1986,6,1,653.2825024
01-07-1986,1986,7,1,96.57197348
01-08-1986,1986,8,1,257.3118584
01-09-1986,1986,9,1,57.86804227
01-10-1986,1986,10,1,65.18472177
01-11-1986,1986,11,1,160.511662
01-12-1986,1986,12,1,10.2704596
01-01-1987,1987,1,1,0.078949984
01-02-1987,1987,2,1,21.71793152
01-03-1987,1987,3,1,75.61708659
01-04-1987,1987,4,1,25.68014398
01-05-1987,1987,5,1,121.0140086
01-06-1987,1987,6,1,128.6612452
01-07-1987,1987,7,1,718.9345516
01-08-1987,1987,8,1,389.62468
01-09-1987,1987,9,1,146.4316913
01-10-1987,1987,10,1,127.7361489
01-11-1987,1987,11,1,13.59811678
01-12-1987,1987,12,1,19.02522288
01-01-1988,1988,1,1,0.693140389
01-02-1988,1988,2,1,0.943554137
01-03-1988,1988,3,1,72.93283125
01-04-1988,1988,4,1,35.91783221
01-05-1988,1988,5,1,86.80685611
01-06-1988,1988,6,1,375.041347
01-07-1988,1988,7,1,229.4759455
01-08-1988,1988,8,1,389.0556695
01-09-1988,1988,9,1,55.79994266
01-10-1988,1988,10,1,43.3954717
01-11-1988,1988,11,1,13.03662227
01-12-1988,1988,12,1,9.132302635
01-01-1989,1989,1,1,4.274047465
01-02-1989,1989,2,1,0.000997965
01-03-1989,1989,3,1,21.12472788
01-04-1989,1989,4,1,4.621981765
01-05-1989,1989,5,1,65.42381031
01-06-1989,1989,6,1,228.244383
01-07-1989,1989,7,1,265.9740855
01-08-1989,1989,8,1,355.3634199
01-09-1989,1989,9,1,52.99563204
01-10-1989,1989,10,1,40.73351404
01-11-1989,1989,11,1,15.79607092
01-12-1989,1989,12,1,31.02423725
01-01-1990,1990,1,1,7.48271181
01-02-1990,1990,2,1,7.879031006
01-03-1990,1990,3,1,123.3892498
01-04-1990,1990,4,1,128.6902951
01-05-1990,1990,5,1,139.7118301
01-06-1990,1990,6,1,77.8507155
01-07-1990,1990,7,1,139.3575778
01-08-1990,1990,8,1,125.9065174
01-09-1990,1990,9,1,204.9998278
01-10-1990,1990,10,1,27.75495464
01-11-1990,1990,11,1,45.64702697
01-12-1990,1990,12,1,43.49487364
01-01-1991,1991,1,1,19.72777589
01-02-1991,1991,2,1,0.706265023
01-03-1991,1991,3,1,0.175806185
01-04-1991,1991,4,1,154.9262465
01-05-1991,1991,5,1,771.9668481
01-06-1991,1991,6,1,308.5464588
01-07-1991,1991,7,1,328.44389
01-08-1991,1991,8,1,43.28073343
01-09-1991,1991,9,1,166.6213738
01-10-1991,1991,10,1,104.2319891
01-11-1991,1991,11,1,50.87244259
01-12-1991,1991,12,1,165.503995
01-01-1992,1992,1,1,0.700797965
01-02-1992,1992,2,1,27.36388313
01-03-1992,1992,3,1,29.98494846
01-04-1992,1992,4,1,140.5046013
01-05-1992,1992,5,1,586.3419999
01-06-1992,1992,6,1,555.836884
01-07-1992,1992,7,1,142.1769616
01-08-1992,1992,8,1,158.5995779
01-09-1992,1992,9,1,113.0045038
01-10-1992,1992,10,1,26.86982865
01-11-1992,1992,11,1,49.04278501
01-12-1992,1992,12,1,15.87727885
01-01-1993,1993,1,1,8.640849052
01-02-1993,1993,2,1,4.835233038
01-03-1993,1993,3,1,2.42468636
01-04-1993,1993,4,1,151.0991933
01-05-1993,1993,5,1,401.2122427
01-06-1993,1993,6,1,629.0629146
01-07-1993,1993,7,1,188.6842133
01-08-1993,1993,8,1,147.8671975
01-09-1993,1993,9,1,47.98866221
01-10-1993,1993,10,1,78.22518031
01-11-1993,1993,11,1,48.34593602
01-12-1993,1993,12,1,74.23939699
01-01-1994,1994,1,1,3.953309039
01-02-1994,1994,2,1,10.67059097
01-03-1994,1994,3,1,22.02564206
01-04-1994,1994,4,1,171.7392357
01-05-1994,1994,5,1,157.3968663
01-06-1994,1994,6,1,370.9891515
01-07-1994,1994,7,1,564.7481153
01-08-1994,1994,8,1,19.00514132
01-09-1994,1994,9,1,149.9667224
