date,year,month,day,7322001
01-01-1979,1979,1,1,192.187
01-02-1979,1979,2,1,51.154
01-03-1979,1979,3,1,35.24
01-04-1979,1979,4,1,40.303
01-05-1979,1979,5,1,147.01
01-06-1979,1979,6,1,122.027
01-07-1979,1979,7,1,171.986
01-08-1979,1979,8,1,NA
01-09-1979,1979,9,1,NA
01-10-1979,1979,10,1,NA
01-11-1979,1979,11,1,NA
01-12-1979,1979,12,1,NA
01-01-1980,1980,1,1,NA
01-02-1980,1980,2,1,NA
01-03-1980,1980,3,1,NA
01-04-1980,1980,4,1,NA
01-05-1980,1980,5,1,NA
01-06-1980,1980,6,1,NA
01-07-1980,1980,7,1,NA
01-08-1980,1980,8,1,NA
01-09-1980,1980,9,1,NA
01-10-1980,1980,10,1,NA
01-11-1980,1980,11,1,NA
01-12-1980,1980,12,1,NA
01-01-1981,1981,1,1,NA
01-02-1981,1981,2,1,NA
01-03-1981,1981,3,1,NA
01-04-1981,1981,4,1,NA
01-05-1981,1981,5,1,NA
01-06-1981,1981,6,1,429.333
01-07-1981,1981,7,1,305.419
01-08-1981,1981,8,1,397.742
01-09-1981,1981,9,1,282.682
01-10-1981,1981,10,1,250.909
01-11-1981,1981,11,1,219.444
01-12-1981,1981,12,1,NA
01-01-1982,1982,1,1,NA
01-02-1982,1982,2,1,33.888
01-03-1982,1982,3,1,39.332
01-04-1982,1982,4,1,67.393
01-05-1982,1982,5,1,281.526
01-06-1982,1982,6,1,540.1
01-07-1982,1982,7,1,548.935
01-08-1982,1982,8,1,323.774
01-09-1982,1982,9,1,442.733
01-10-1982,1982,10,1,390.29
01-11-1982,1982,11,1,455.1
01-12-1982,1982,12,1,688.452
01-01-1983,1983,1,1,444.194
01-02-1983,1983,2,1,238.321
01-03-1983,1983,3,1,92.627
01-04-1983,1983,4,1,91.92
01-05-1983,1983,5,1,153.258
01-06-1983,1983,6,1,247.067
01-07-1983,1983,7,1,274.452
01-08-1983,1983,8,1,238.065
01-09-1983,1983,9,1,201.1
01-10-1983,1983,10,1,198.774
01-11-1983,1983,11,1,282.9
01-12-1983,1983,12,1,111.184
01-01-1984,1984,1,1,33.103
01-02-1984,1984,2,1,33.303
01-03-1984,1984,3,1,32.752
01-04-1984,1984,4,1,22.68
01-05-1984,1984,5,1,127.426
01-06-1984,1984,6,1,182.267
01-07-1984,1984,7,1,387.935
01-08-1984,1984,8,1,237
01-09-1984,1984,9,1,311.8
01-10-1984,1984,10,1,439.581
01-11-1984,1984,11,1,226.143
01-12-1984,1984,12,1,387.645
01-01-1985,1985,1,1,294.81
01-02-1985,1985,2,1,27.517
01-03-1985,1985,3,1,17.76
01-04-1985,1985,4,1,107.167
01-05-1985,1985,5,1,171.281
01-06-1985,1985,6,1,194.167
01-07-1985,1985,7,1,279.258
01-08-1985,1985,8,1,140.565
01-09-1985,1985,9,1,85.382
01-10-1985,1985,10,1,124.484
01-11-1985,1985,11,1,151.933
01-12-1985,1985,12,1,72.803
01-01-1986,1986,1,1,30.5
01-02-1986,1986,2,1,42.657
01-03-1986,1986,3,1,66.013
01-04-1986,1986,4,1,172.703
01-05-1986,1986,5,1,262.468
01-06-1986,1986,6,1,404.79
01-07-1986,1986,7,1,163.071
01-08-1986,1986,8,1,209.226
01-09-1986,1986,9,1,211.1
01-10-1986,1986,10,1,183.742
01-11-1986,1986,11,1,197.933
01-12-1986,1986,12,1,281.935
01-01-1987,1987,1,1,124.742
01-02-1987,1987,2,1,81.089
01-03-1987,1987,3,1,98.574
01-04-1987,1987,4,1,104.053
01-05-1987,1987,5,1,103.068
01-06-1987,1987,6,1,153.257
01-07-1987,1987,7,1,271.706
01-08-1987,1987,8,1,313.065
01-09-1987,1987,9,1,264.857
01-10-1987,1987,10,1,349.548
01-11-1987,1987,11,1,405.1
01-12-1987,1987,12,1,261.097
01-01-1988,1988,1,1,67.723
01-02-1988,1988,2,1,61.328
01-03-1988,1988,3,1,44.539
01-04-1988,1988,4,1,119.083
01-05-1988,1988,5,1,86.055
01-06-1988,1988,6,1,114.272
01-07-1988,1988,7,1,NA
01-08-1988,1988,8,1,167.684
01-09-1988,1988,9,1,246.067
01-10-1988,1988,10,1,145.306
01-11-1988,1988,11,1,239.003
01-12-1988,1988,12,1,136.758
01-01-1989,1989,1,1,36.594
01-02-1989,1989,2,1,26.729
01-03-1989,1989,3,1,84.69
01-04-1989,1989,4,1,124.23
01-05-1989,1989,5,1,113.1
01-06-1989,1989,6,1,139.783
01-07-1989,1989,7,1,115.052
01-08-1989,1989,8,1,140.494
01-09-1989,1989,9,1,191.78
01-10-1989,1989,10,1,168.352
01-11-1989,1989,11,1,84.047
01-12-1989,1989,12,1,24.084
01-01-1990,1990,1,1,16.352
01-02-1990,1990,2,1,24.418
01-03-1990,1990,3,1,42.629
01-04-1990,1990,4,1,162.04
01-05-1990,1990,5,1,238.413
01-06-1990,1990,6,1,111.077
01-07-1990,1990,7,1,99.229
01-08-1990,1990,8,1,114.532
01-09-1990,1990,9,1,195.613
01-10-1990,1990,10,1,146.139
01-11-1990,1990,11,1,90.57
01-12-1990,1990,12,1,20.284
01-01-1991,1991,1,1,10.229
01-02-1991,1991,2,1,9.12
01-03-1991,1991,3,1,39.113
01-04-1991,1991,4,1,196.75
01-05-1991,1991,5,1,302.455
01-06-1991,1991,6,1,367.733
01-07-1991,1991,7,1,352.433
01-08-1991,1991,8,1,300.484
01-09-1991,1991,9,1,209.33
01-10-1991,1991,10,1,176.9
01-11-1991,1991,11,1,235.125
01-12-1991,1991,12,1,146.415
01-01-1992,1992,1,1,NA
01-02-1992,1992,2,1,NA
01-03-1992,1992,3,1,194.714
01-04-1992,1992,4,1,131.903
01-05-1992,1992,5,1,233.852
01-06-1992,1992,6,1,438.2
01-07-1992,1992,7,1,345.484
01-08-1992,1992,8,1,327.118
01-09-1992,1992,9,1,295.233
01-10-1992,1992,10,1,207.75
01-11-1992,1992,11,1,310.883
01-12-1992,1992,12,1,413.522
01-01-1993,1993,1,1,148.894
01-02-1993,1993,2,1,26.711
01-03-1993,1993,3,1,118.852
01-04-1993,1993,4,1,149.103
01-05-1993,1993,5,1,277.862
01-06-1993,1993,6,1,353.767
01-07-1993,1993,7,1,284.323
01-08-1993,1993,8,1,241.839
01-09-1993,1993,9,1,222.633
01-10-1993,1993,10,1,189.097
01-11-1993,1993,11,1,137.473
01-12-1993,1993,12,1,49.068
01-01-1994,1994,1,1,32.329
01-02-1994,1994,2,1,30.839
01-03-1994,1994,3,1,100.203
01-04-1994,1994,4,1,128.456
01-05-1994,1994,5,1,114.593
01-06-1994,1994,6,1,162.3
01-07-1994,1994,7,1,347.048
01-08-1994,1994,8,1,338.71
01-09-1994,1994,9,1,252.8
01-10-1994,1994,10,1,220.581
01-11-1994,1994,11,1,191.933
01-12-1994,1994,12,1,122.177
01-01-1995,1995,1,1,67.6
01-02-1995,1995,2,1,82.364
01-03-1995,1995,3,1,90.855
01-04-1995,1995,4,1,97.892
01-05-1995,1995,5,1,170.457
01-06-1995,1995,6,1,233.067
01-07-1995,1995,7,1,338.452
01-08-1995,1995,8,1,328.484
01-09-1995,1995,9,1,253.8
01-10-1995,1995,10,1,251.774
01-11-1995,1995,11,1,379
01-12-1995,1995,12,1,259.467
01-01-1996,1996,1,1,70.98
01-02-1996,1996,2,1,60.976
01-03-1996,1996,3,1,55.294
01-04-1996,1996,4,1,107.03
01-05-1996,1996,5,1,186.487
01-06-1996,1996,6,1,220.864
01-07-1996,1996,7,1,177.161
01-08-1996,1996,8,1,149.387
01-09-1996,1996,9,1,114.247
01-10-1996,1996,10,1,94.49
01-11-1996,1996,11,1,49.443
01-12-1996,1996,12,1,27.19
01-01-1997,1997,1,1,20.842
01-02-1997,1997,2,1,19.457
01-03-1997,1997,3,1,77.519
01-04-1997,1997,4,1,NA
01-05-1997,1997,5,1,127.661
01-06-1997,1997,6,1,227.273
01-07-1997,1997,7,1,329.806
01-08-1997,1997,8,1,424.793
01-09-1997,1997,9,1,465.654
01-10-1997,1997,10,1,439.484
01-11-1997,1997,11,1,445.4
01-12-1997,1997,12,1,462
01-01-1998,1998,1,1,292.194
01-02-1998,1998,2,1,152.3
01-03-1998,1998,3,1,159.255
01-04-1998,1998,4,1,182.367
01-05-1998,1998,5,1,176.065
01-06-1998,1998,6,1,251.375
01-07-1998,1998,7,1,170.161
01-08-1998,1998,8,1,98.655
01-09-1998,1998,9,1,58.92
01-10-1998,1998,10,1,31.665
01-11-1998,1998,11,1,8.921
01-12-1998,1998,12,1,6.432
01-01-1999,1999,1,1,5.479
01-02-1999,1999,2,1,5.432
01-03-1999,1999,3,1,6.084
01-04-1999,1999,4,1,28.239
01-05-1999,1999,5,1,50.49
01-06-1999,1999,6,1,43.71
01-07-1999,1999,7,1,48.606
01-08-1999,1999,8,1,77.639
01-09-1999,1999,9,1,216
01-10-1999,1999,10,1,296.097
01-11-1999,1999,11,1,358.233
01-12-1999,1999,12,1,213.384
01-01-2000,2000,1,1,48.559
01-02-2000,2000,2,1,9.391
01-03-2000,2000,3,1,96.055
01-04-2000,2000,4,1,179.33
01-05-2000,2000,5,1,81.677
01-06-2000,2000,6,1,227.67
01-07-2000,2000,7,1,392.935
01-08-2000,2000,8,1,299.897
01-09-2000,2000,9,1,244.7
01-10-2000,2000,10,1,219.448
01-11-2000,2000,11,1,292.929
01-12-2000,2000,12,1,382.677
01-01-2001,2001,1,1,157.571
01-02-2001,2001,2,1,54
01-03-2001,2001,3,1,110.381
01-04-2001,2001,4,1,177.093
01-05-2001,2001,5,1,200.261
01-06-2001,2001,6,1,332.767
01-07-2001,2001,7,1,491.226
01-08-2001,2001,8,1,405.452
01-09-2001,2001,9,1,339.267
01-10-2001,2001,10,1,270.419
01-11-2001,2001,11,1,270.8
01-12-2001,2001,12,1,204.687
01-01-2002,2002,1,1,64.742
01-02-2002,2002,2,1,45.453
01-03-2002,2002,3,1,187.269
01-04-2002,2002,4,1,203.663
01-05-2002,2002,5,1,234.632
01-06-2002,2002,6,1,298.233
01-07-2002,2002,7,1,265.452
01-08-2002,2002,8,1,452.871
01-09-2002,2002,9,1,343.241
01-10-2002,2002,10,1,379.762
01-11-2002,2002,11,1,597.158
01-12-2002,2002,12,1,641.387
01-01-2003,2003,1,1,468.29
01-02-2003,2003,2,1,138.825
01-03-2003,2003,3,1,169.558
01-04-2003,2003,4,1,217.383
01-05-2003,2003,5,1,215.161
01-06-2003,2003,6,1,190.717
01-07-2003,2003,7,1,328.774
01-08-2003,2003,8,1,258.535
