date,year,month,day,7322001
01-01-1979,1979,1,1,22.91720842
01-02-1979,1979,2,1,21.53911789
01-03-1979,1979,3,1,20.52187981
01-04-1979,1979,4,1,17.02204038
01-05-1979,1979,5,1,9.944298152
01-06-1979,1979,6,1,7.466185953
01-07-1979,1979,7,1,8.435154406
01-08-1979,1979,8,1,8.193029052
01-09-1979,1979,9,1,7.446283537
01-10-1979,1979,10,1,12.18038814
01-11-1979,1979,11,1,14.02699207
01-12-1979,1979,12,1,16.86441681
01-01-1980,1980,1,1,22.66974803
01-02-1980,1980,2,1,19.86706931
01-03-1980,1980,3,1,22.27590019
01-04-1980,1980,4,1,11.49643878
01-05-1980,1980,5,1,9.185680671
01-06-1980,1980,6,1,7.134250868
01-07-1980,1980,7,1,5.966932501
01-08-1980,1980,8,1,7.89985159
01-09-1980,1980,9,1,11.08008775
01-10-1980,1980,10,1,12.95050733
01-11-1980,1980,11,1,14.40138539
01-12-1980,1980,12,1,18.05932471
01-01-1981,1981,1,1,19.75872032
01-02-1981,1981,2,1,22.99258571
01-03-1981,1981,3,1,20.35262184
01-04-1981,1981,4,1,15.56178891
01-05-1981,1981,5,1,9.327168387
01-06-1981,1981,6,1,6.963057053
01-07-1981,1981,7,1,7.239634118
01-08-1981,1981,8,1,8.213335223
01-09-1981,1981,9,1,9.24175331
01-10-1981,1981,10,1,11.78913726
01-11-1981,1981,11,1,15.01615546
01-12-1981,1981,12,1,18.92779926
01-01-1982,1982,1,1,21.66747603
01-02-1982,1982,2,1,20.69264446
01-03-1982,1982,3,1,19.87477147
01-04-1982,1982,4,1,17.18588496
01-05-1982,1982,5,1,10.46725157
01-06-1982,1982,6,1,5.004394433
01-07-1982,1982,7,1,5.767304965
01-08-1982,1982,8,1,7.832286577
01-09-1982,1982,9,1,9.78456023
01-10-1982,1982,10,1,11.05900624
01-11-1982,1982,11,1,13.54231263
01-12-1982,1982,12,1,18.59666013
01-01-1983,1983,1,1,19.92357068
01-02-1983,1983,2,1,22.20590496
01-03-1983,1983,3,1,20.04336884
01-04-1983,1983,4,1,15.3443891
01-05-1983,1983,5,1,7.993062158
01-06-1983,1983,6,1,3.903680417
01-07-1983,1983,7,1,5.096301934
01-08-1983,1983,8,1,6.680981742
01-09-1983,1983,9,1,7.890378733
01-10-1983,1983,10,1,14.01430488
01-11-1983,1983,11,1,17.75379153
01-12-1983,1983,12,1,21.25978439
01-01-1984,1984,1,1,21.49910458
01-02-1984,1984,2,1,20.86591521
01-03-1984,1984,3,1,19.94718016
01-04-1984,1984,4,1,15.07794173
01-05-1984,1984,5,1,6.648034661
01-06-1984,1984,6,1,3.382432733
01-07-1984,1984,7,1,5.529148668
01-08-1984,1984,8,1,6.173827131
01-09-1984,1984,9,1,9.09604001
01-10-1984,1984,10,1,12.00016113
01-11-1984,1984,11,1,13.82767661
01-12-1984,1984,12,1,18.04047848
01-01-1985,1985,1,1,20.21284632
01-02-1985,1985,2,1,21.90044057
01-03-1985,1985,3,1,19.38407294
01-04-1985,1985,4,1,13.90065811
01-05-1985,1985,5,1,11.01994363
01-06-1985,1985,6,1,9.56625413
01-07-1985,1985,7,1,6.224260887
01-08-1985,1985,8,1,7.384051342
01-09-1985,1985,9,1,10.55473409
01-10-1985,1985,10,1,11.35822053
01-11-1985,1985,11,1,16.77638615
01-12-1985,1985,12,1,20.05395116
01-01-1986,1986,1,1,21.08522452
01-02-1986,1986,2,1,21.61788379
01-03-1986,1986,3,1,19.32794432
01-04-1986,1986,4,1,13.61167747
01-05-1986,1986,5,1,9.469649468
01-06-1986,1986,6,1,6.663583047
01-07-1986,1986,7,1,9.130804335
01-08-1986,1986,8,1,7.729804587
01-09-1986,1986,9,1,9.660206627
01-10-1986,1986,10,1,13.82502307
01-11-1986,1986,11,1,13.42863791
01-12-1986,1986,12,1,19.92082106
01-01-1987,1987,1,1,22.88138861
01-02-1987,1987,2,1,23.41151575
01-03-1987,1987,3,1,20.70770629
01-04-1987,1987,4,1,16.04574993
01-05-1987,1987,5,1,7.817992342
01-06-1987,1987,6,1,8.546288369
01-07-1987,1987,7,1,6.040027303
01-08-1987,1987,8,1,6.232559005
01-09-1987,1987,9,1,8.843906463
01-10-1987,1987,10,1,12.8788227
01-11-1987,1987,11,1,17.8316882
01-12-1987,1987,12,1,19.46142739
01-01-1988,1988,1,1,21.11482997
01-02-1988,1988,2,1,23.230138
01-03-1988,1988,3,1,19.27342252
01-04-1988,1988,4,1,15.81610916
01-05-1988,1988,5,1,11.13683541
01-06-1988,1988,6,1,6.947724423
01-07-1988,1988,7,1,5.117234415
01-08-1988,1988,8,1,5.721437042
01-09-1988,1988,9,1,8.357400637
