date,year,month,day,7322001
01-01-1979,1979,1,1,8.048509952
01-02-1979,1979,2,1,6.813297829
01-03-1979,1979,3,1,5.892572881
01-04-1979,1979,4,1,2.847071135
01-05-1979,1979,5,1,-0.129751156
01-06-1979,1979,6,1,-3.647372268
01-07-1979,1979,7,1,-1.448887273
01-08-1979,1979,8,1,-1.020912623
01-09-1979,1979,9,1,-2.975918153
01-10-1979,1979,10,1,0.480901252
01-11-1979,1979,11,1,3.811139495
01-12-1979,1979,12,1,5.701394729
01-01-1980,1980,1,1,8.316929455
01-02-1980,1980,2,1,8.39717981
01-03-1980,1980,3,1,7.9540742
01-04-1980,1980,4,1,2.071394232
01-05-1980,1980,5,1,1.187150114
01-06-1980,1980,6,1,-1.139439111
01-07-1980,1980,7,1,-3.323440363
01-08-1980,1980,8,1,-2.67723124
01-09-1980,1980,9,1,-1.067483909
01-10-1980,1980,10,1,0.354990053
01-11-1980,1980,11,1,2.579436072
01-12-1980,1980,12,1,5.722113361
01-01-1981,1981,1,1,6.909529955
01-02-1981,1981,2,1,8.054753993
01-03-1981,1981,3,1,6.985809668
01-04-1981,1981,4,1,3.522304186
01-05-1981,1981,5,1,1.881195163
01-06-1981,1981,6,1,-1.670660217
01-07-1981,1981,7,1,-2.340020635
01-08-1981,1981,8,1,-1.863795857
01-09-1981,1981,9,1,-1.999992035
01-10-1981,1981,10,1,0.325874393
01-11-1981,1981,11,1,3.158275756
01-12-1981,1981,12,1,5.414147189
01-01-1982,1982,1,1,7.65350241
01-02-1982,1982,2,1,6.943572379
01-03-1982,1982,3,1,6.115325381
01-04-1982,1982,4,1,3.918017246
01-05-1982,1982,5,1,0.748972046
01-06-1982,1982,6,1,-1.989279269
01-07-1982,1982,7,1,-1.643818005
01-08-1982,1982,8,1,-2.21335347
01-09-1982,1982,9,1,0.439952623
01-10-1982,1982,10,1,0.211157101
01-11-1982,1982,11,1,2.472323048
01-12-1982,1982,12,1,6.029540826
01-01-1983,1983,1,1,7.312996003
01-02-1983,1983,2,1,7.740803157
01-03-1983,1983,3,1,6.477413235
01-04-1983,1983,4,1,2.883841675
01-05-1983,1983,5,1,-1.86157035
01-06-1983,1983,6,1,-4.431306169
01-07-1983,1983,7,1,-3.837190322
01-08-1983,1983,8,1,-3.275587428
01-09-1983,1983,9,1,-3.16680947
01-10-1983,1983,10,1,1.726857864
01-11-1983,1983,11,1,4.398262348
01-12-1983,1983,12,1,7.750832355
01-01-1984,1984,1,1,8.011803703
01-02-1984,1984,2,1,7.035199948
01-03-1984,1984,3,1,6.758314716
01-04-1984,1984,4,1,1.869541367
01-05-1984,1984,5,1,-1.501138488
01-06-1984,1984,6,1,-3.81028319
01-07-1984,1984,7,1,-2.763444414
01-08-1984,1984,8,1,-4.475000565
01-09-1984,1984,9,1,-1.117091024
01-10-1984,1984,10,1,0.932947095
01-11-1984,1984,11,1,2.532469803
01-12-1984,1984,12,1,5.181771561
01-01-1985,1985,1,1,7.379223984
01-02-1985,1985,2,1,7.015442204
01-03-1985,1985,3,1,6.636440042
01-04-1985,1985,4,1,2.358809482
01-05-1985,1985,5,1,1.162422464
01-06-1985,1985,6,1,0.172949626
01-07-1985,1985,7,1,-3.31187395
01-08-1985,1985,8,1,-3.796760732
01-09-1985,1985,9,1,-0.551543485
01-10-1985,1985,10,1,1.365331933
01-11-1985,1985,11,1,4.491767397
01-12-1985,1985,12,1,6.761264471
01-01-1986,1986,1,1,6.863939319
01-02-1986,1986,2,1,7.963279518
01-03-1986,1986,3,1,5.671763887
01-04-1986,1986,4,1,3.104618651
01-05-1986,1986,5,1,1.108450636
01-06-1986,1986,6,1,-1.2492993
01-07-1986,1986,7,1,-1.479865725
01-08-1986,1986,8,1,-1.672099217
01-09-1986,1986,9,1,-1.212845404
01-10-1986,1986,10,1,2.24879582
01-11-1986,1986,11,1,3.041947489
01-12-1986,1986,12,1,6.96377171
01-01-1987,1987,1,1,7.991050161
01-02-1987,1987,2,1,9.420842043
01-03-1987,1987,3,1,7.401602052
01-04-1987,1987,4,1,3.508252595
01-05-1987,1987,5,1,-2.066972525
01-06-1987,1987,6,1,-0.665018743
01-07-1987,1987,7,1,-2.287931701
01-08-1987,1987,8,1,-3.042666163
01-09-1987,1987,9,1,-2.136754418
01-10-1987,1987,10,1,1.48441787
01-11-1987,1987,11,1,4.631043174
01-12-1987,1987,12,1,6.091892558
01-01-1988,1988,1,1,7.008137835
01-02-1988,1988,2,1,8.848330507
01-03-1988,1988,3,1,5.84542529
01-04-1988,1988,4,1,3.562780448
01-05-1988,1988,5,1,-0.190414926
01-06-1988,1988,6,1,-2.472847807
01-07-1988,1988,7,1,-4.709203195
01-08-1988,1988,8,1,-3.809774756
01-09-1988,1988,9,1,-3.175517271
01-10-1988,1988,10,1,0.059545917
01-11-1988,1988,11,1,3.923809078
01-12-1988,1988,12,1,6.252563845
01-01-1989,1989,1,1,8.564986613
01-02-1989,1989,2,1,8.957697296
01-03-1989,1989,3,1,5.66047179
01-04-1989,1989,4,1,3.389052931
01-05-1989,1989,5,1,0.176044726
01-06-1989,1989,6,1,-0.419153109
01-07-1989,1989,7,1,-3.359038827
01-08-1989,1989,8,1,-2.833484839
01-09-1989,1989,9,1,-2.006939908
01-10-1989,1989,10,1,1.03993394
01-11-1989,1989,11,1,4.753970983
01-12-1989,1989,12,1,6.623718355
01-01-1990,1990,1,1,7.278620006
01-02-1990,1990,2,1,8.347151339
01-03-1990,1990,3,1,5.088499291
01-04-1990,1990,4,1,2.762752306
01-05-1990,1990,5,1,-0.662125238
01-06-1990,1990,6,1,-1.086752507
01-07-1990,1990,7,1,-3.632451908
01-08-1990,1990,8,1,-0.939023558
01-09-1990,1990,9,1,-1.273503586
01-10-1990,1990,10,1,1.263321112
01-11-1990,1990,11,1,3.565241262
01-12-1990,1990,12,1,6.877116677
01-01-1991,1991,1,1,6.898231171
01-02-1991,1991,2,1,7.948618286
01-03-1991,1991,3,1,7.084871755
01-04-1991,1991,4,1,3.723982058
01-05-1991,1991,5,1,2.117545489
01-06-1991,1991,6,1,-1.487965418
01-07-1991,1991,7,1,-3.273407544
01-08-1991,1991,8,1,-3.837149777
01-09-1991,1991,9,1,0.413635831
01-10-1991,1991,10,1,0.116763576
01-11-1991,1991,11,1,4.092446793
01-12-1991,1991,12,1,5.376085259
01-01-1992,1992,1,1,9.052206752
01-02-1992,1992,2,1,7.250497872
01-03-1992,1992,3,1,7.619021848
01-04-1992,1992,4,1,2.098010151
01-05-1992,1992,5,1,-0.754383774
01-06-1992,1992,6,1,-2.415436535
01-07-1992,1992,7,1,-5.072065013
01-08-1992,1992,8,1,-2.991190921
01-09-1992,1992,9,1,-1.315081953
01-10-1992,1992,10,1,0.902392877
01-11-1992,1992,11,1,4.370161383
01-12-1992,1992,12,1,6.170789752
01-01-1993,1993,1,1,8.204513506
01-02-1993,1993,2,1,9.180070732
01-03-1993,1993,3,1,6.868923894
01-04-1993,1993,4,1,3.288339726
01-05-1993,1993,5,1,-1.790342087
01-06-1993,1993,6,1,-0.691033553
01-07-1993,1993,7,1,-4.698289052
01-08-1993,1993,8,1,-2.818163918
01-09-1993,1993,9,1,-2.340354822
01-10-1993,1993,10,1,1.005614219
01-11-1993,1993,11,1,2.749616863
01-12-1993,1993,12,1,5.982743935
01-01-1994,1994,1,1,8.164151539
01-02-1994,1994,2,1,7.263037404
01-03-1994,1994,3,1,7.252469168
01-04-1994,1994,4,1,3.564880321
01-05-1994,1994,5,1,1.312760344
01-06-1994,1994,6,1,-0.677892538
01-07-1994,1994,7,1,-3.085425663
01-08-1994,1994,8,1,-3.391086415
01-09-1994,1994,9,1,0.334170549
01-10-1994,1994,10,1,0.76388373
01-11-1994,1994,11,1,4.328742685
01-12-1994,1994,12,1,7.01279299
